 	X	Y	XM	YM
1	323.626	252.864	323.448	252.900
2	323.579	252.856	323.404	252.907
3	323.519	252.734	323.342	252.764
4	323.589	252.671	323.414	252.709
5	323.616	252.711	323.437	252.747
6	323.716	252.810	323.540	252.851
7	323.605	252.841	323.428	252.882
8	323.627	252.813	323.452	252.855
9	323.534	252.931	323.352	252.972
10	323.510	252.925	323.326	252.955
11	323.431	252.943	323.246	252.979
12	323.410	252.825	323.230	252.859
13	323.482	252.784	323.298	252.834
14	323.441	252.767	323.263	252.809
15	323.492	252.731	323.314	252.770
16	323.527	252.827	323.343	252.869
17	323.540	252.863	323.357	252.894
18	323.455	252.837	323.258	252.880
19	323.549	252.692	323.366	252.734
20	323.466	252.709	323.276	252.748
21	323.562	252.604	323.374	252.642
22	323.535	252.637	323.349	252.678
23	323.478	252.530	323.291	252.578
24	323.628	252.562	323.442	252.598
25	323.651	252.602	323.461	252.645
26	323.632	252.434	323.438	252.476
27	323.522	252.469	323.332	252.504
28	323.515	252.556	323.314	252.600
29	323.453	252.614	323.269	252.652
30	323.390	252.760	323.189	252.798
31	323.278	252.689	323.092	252.725
32	323.080	252.673	322.893	252.704
33	323.150	252.622	322.953	252.662
34	322.994	252.624	322.799	252.656
35	322.785	252.565	322.589	252.607
36	322.791	252.535	322.594	252.578
37	322.939	252.522	322.743	252.559
38	322.976	252.572	322.783	252.613
39	322.969	252.512	322.772	252.549
40	322.851	252.544	322.654	252.579
41	322.819	252.534	322.631	252.569
42	322.741	252.457	322.562	252.501
43	322.845	252.437	322.649	252.475
44	322.823	252.393	322.613	252.443
45	322.848	252.317	322.653	252.362
46	322.829	252.279	322.634	252.317
47	323.010	252.325	322.814	252.370
48	322.855	252.497	322.658	252.538
49	322.995	252.524	322.794	252.574
50	322.897	252.540	322.697	252.596
51	322.928	252.674	322.726	252.717
52	322.801	252.722	322.607	252.779
53	322.861	252.697	322.667	252.744
54	322.935	252.867	322.736	252.920
55	322.907	252.830	322.705	252.883
56	322.807	252.922	322.606	252.974
57	322.828	252.850	322.634	252.893
58	322.976	252.989	322.779	253.037
59	322.880	253.030	322.684	253.087
60	322.903	252.975	322.709	253.028
