 	X	Y	XM	YM
1	321.484	253.964	321.368	253.979
2	321.583	253.862	321.457	253.875
3	321.403	253.974	321.279	253.991
4	321.488	254.002	321.366	254.015
5	321.484	254.161	321.364	254.171
6	321.683	254.242	321.560	254.257
7	321.638	254.215	321.516	254.228
8	321.756	254.144	321.636	254.148
9	321.742	254.155	321.616	254.160
10	321.520	254.134	321.396	254.146
11	321.559	254.382	321.435	254.389
12	321.583	254.103	321.461	254.122
13	321.709	254.255	321.583	254.272
14	321.761	254.137	321.629	254.145
15	321.797	254.283	321.683	254.292
16	321.894	254.263	321.774	254.270
17	321.821	254.104	321.697	254.115
18	321.931	254.012	321.809	254.021
19	321.880	254.039	321.753	254.050
20	321.790	253.967	321.670	253.984
21	321.768	253.863	321.643	253.876
22	321.641	253.662	321.515	253.679
23	321.604	253.615	321.470	253.626
24	321.539	253.488	321.410	253.501
25	321.587	253.476	321.464	253.492
26	321.681	253.377	321.551	253.401
27	321.625	253.338	321.494	253.357
28	321.721	253.429	321.586	253.443
29	321.695	253.445	321.567	253.465
30	321.483	253.381	321.357	253.405
31	321.488	253.240	321.360	253.257
32	321.465	253.117	321.335	253.146
33	321.455	253.050	321.323	253.071
34	321.543	253.154	321.410	253.180
35	321.495	252.986	321.361	253.004
36	321.700	252.957	321.575	252.976
37	321.639	253.111	321.507	253.140
38	321.646	253.323	321.516	253.343
39	321.561	253.188	321.421	253.205
40	321.696	253.265	321.559	253.284
41	321.700	253.191	321.562	253.208
42	321.733	253.108	321.598	253.128
43	321.759	253.175	321.615	253.189
44	322.127	253.122	321.984	253.133
45	322.112	253.237	321.975	253.248
46	322.107	253.352	321.963	253.363
47	322.222	253.366	322.094	253.383
48	322.024	253.292	321.884	253.296
49	321.938	253.180	321.806	253.193
50	321.732	253.155	321.592	253.168
51	321.706	253.231	321.571	253.246
52	321.631	253.177	321.494	253.191
53	321.678	253.330	321.537	253.338
54	321.553	253.377	321.411	253.393
55	321.352	253.342	321.210	253.352
56	321.304	253.377	321.160	253.381
57	321.417	253.541	321.275	253.543
58	321.337	253.570	321.194	253.569
59	321.248	253.639	321.110	253.644
60	321.207	253.628	321.065	253.637
61	321.210	253.620	321.072	253.628
62	321.328	253.602	321.196	253.599
63	321.413	253.566	321.269	253.562
64	321.477	253.628	321.329	253.636
65	321.387	253.704	321.246	253.710
66	321.451	253.560	321.311	253.568
67	321.457	253.346	321.318	253.352
68	321.507	253.246	321.370	253.245
69	321.502	253.288	321.357	253.298
70	321.646	253.173	321.507	253.183
71	321.778	253.174	321.639	253.184
72	321.697	253.085	321.566	253.094
73	321.642	253.007	321.502	253.011
74	321.701	252.994	321.561	252.998
75	321.699	252.998	321.561	253.008
76	321.633	253.166	321.501	253.176
77	321.541	253.079	321.400	253.090
78	321.596	253.180	321.456	253.191
79	321.572	253.287	321.433	253.297
80	321.429	253.200	321.287	253.204
81	321.446	253.267	321.310	253.266
82	321.492	253.408	321.361	253.413
83	321.697	253.496	321.564	253.506
84	321.572	253.522	321.433	253.534
85	321.656	253.514	321.523	253.530
86	321.620	253.601	321.478	253.609
87	321.737	253.601	321.612	253.625
88	321.720	253.505	321.589	253.515
89	321.573	253.545	321.437	253.560
90	321.612	253.621	321.479	253.635
91	321.769	253.581	321.636	253.591
92	321.879	253.505	321.744	253.525
93	321.657	253.487	321.528	253.488
94	321.716	253.379	321.586	253.391
95	321.786	253.375	321.662	253.371
96	321.765	253.419	321.634	253.425
97	321.677	253.372	321.538	253.381
98	321.671	253.419	321.535	253.429
99	321.653	253.455	321.523	253.459
100	321.741	253.581	321.613	253.590
101	321.652	253.505	321.516	253.510
102	321.798	253.466	321.663	253.463
103	321.739	253.620	321.601	253.619
104	321.635	253.657	321.499	253.662
105	321.533	253.832	321.389	253.832
106	321.469	253.611	321.333	253.620
107	321.382	253.603	321.246	253.602
108	321.368	253.534	321.223	253.545
109	321.408	253.473	321.269	253.471
110	321.510	253.649	321.368	253.650
111	321.519	253.525	321.373	253.521
112	321.502	253.750	321.363	253.750
113	321.536	253.823	321.407	253.827
114	321.338	253.756	321.200	253.751
115	321.407	253.725	321.265	253.733
116	321.395	253.764	321.252	253.755
117	321.424	253.678	321.282	253.673
118	321.182	253.732	321.033	253.729
119	321.149	253.637	321.013	253.636
120	321.236	253.714	321.092	253.715
121	321.163	253.704	321.020	253.703
122	321.110	253.559	320.959	253.553
123	320.965	253.466	320.807	253.477
124	320.987	253.435	320.846	253.443
125	320.992	253.407	320.848	253.409
126	320.809	253.409	320.662	253.412
127	320.893	253.333	320.754	253.340
128	320.909	253.317	320.772	253.317
129	320.979	253.372	320.834	253.370
130	320.969	253.266	320.821	253.268
131	321.044	253.317	320.912	253.321
132	320.904	253.486	320.770	253.496
133	320.842	253.333	320.702	253.344
134	321.012	253.336	320.872	253.343
135	321.083	253.383	320.941	253.387
136	321.106	253.525	320.951	253.520
137	321.219	253.661	321.083	253.653
138	321.241	253.558	321.106	253.546
139	321.436	253.508	321.300	253.492
140	321.368	253.592	321.237	253.593
141	321.468	253.599	321.325	253.591
142	321.479	253.618	321.350	253.615
143	321.534	253.700	321.389	253.691
144	321.597	253.505	321.462	253.492
145	321.620	253.419	321.481	253.418
146	321.602	253.359	321.461	253.360
147	321.664	253.106	321.530	253.108
148	321.525	253.154	321.383	253.159
149	321.503	253.023	321.360	253.027
150	321.378	253.058	321.239	253.060
151	321.494	253.209	321.353	253.212
152	321.354	253.332	321.220	253.332
153	321.281	253.257	321.137	253.255
154	321.279	253.237	321.127	253.244
155	321.215	253.325	321.069	253.326
156	321.203	253.355	321.057	253.370
157	321.202	253.525	321.047	253.530
158	321.125	253.395	320.977	253.407
159	321.170	253.480	321.026	253.488
160	321.074	253.716	320.919	253.727
161	321.193	253.814	321.050	253.820
162	321.321	253.799	321.166	253.806
163	321.286	253.782	321.139	253.799
164	321.177	253.672	321.023	253.685
165	321.210	253.621	321.060	253.640
166	321.185	253.431	321.036	253.435
167	321.210	253.616	321.053	253.630
168	321.313	253.722	321.156	253.731
169	321.368	253.690	321.211	253.698
170	321.243	253.896	321.087	253.902
171	321.431	253.872	321.286	253.878
172	321.451	253.931	321.291	253.936
173	321.315	253.730	321.151	253.725
174	321.245	253.672	321.080	253.676
175	321.183	253.745	321.029	253.749
176	321.250	253.669	321.089	253.679
177	321.300	253.702	321.134	253.694
178	321.436	253.545	321.274	253.545
179	321.359	253.689	321.199	253.690
180	321.586	253.779	321.423	253.774
181	321.433	253.727	321.271	253.726
182	321.491	253.835	321.315	253.837
183	321.710	253.780	321.550	253.779
184	321.693	253.749	321.531	253.747
185	321.658	253.820	321.498	253.825
186	321.703	253.774	321.547	253.785
187	321.891	253.880	321.721	253.875
188	321.819	253.786	321.667	253.782
189	321.868	253.840	321.713	253.849
190	321.880	253.954	321.728	253.954
191	321.762	253.838	321.600	253.847
192	321.548	253.758	321.397	253.758
193	321.609	253.850	321.463	253.851
194	321.711	253.752	321.566	253.753
195	321.822	253.643	321.680	253.641
196	321.751	253.564	321.596	253.556
197	321.610	253.346	321.461	253.350
198	321.798	253.565	321.643	253.563
199	321.792	253.670	321.644	253.678
200	321.759	253.603	321.609	253.604
