 	X	Y	XM	YM
1	321.916	254.626	321.712	254.633
2	322.106	254.568	321.891	254.585
3	322.053	254.471	321.840	254.486
4	321.962	254.447	321.750	254.460
5	321.840	254.537	321.622	254.546
6	321.897	254.482	321.690	254.500
7	321.849	254.580	321.644	254.595
8	321.831	254.680	321.622	254.691
9	321.736	254.723	321.533	254.731
10	321.683	254.703	321.488	254.702
11	321.616	254.900	321.413	254.907
12	321.634	254.901	321.428	254.917
13	321.527	254.828	321.327	254.842
14	321.494	254.784	321.296	254.791
15	321.386	254.685	321.177	254.688
16	321.401	254.692	321.199	254.702
17	321.298	254.535	321.103	254.547
18	321.417	254.309	321.213	254.315
19	321.470	254.249	321.272	254.266
20	321.449	254.262	321.243	254.274
21	321.438	254.076	321.235	254.083
22	321.350	253.934	321.149	253.944
23	321.208	253.900	321.003	253.913
24	321.253	254.005	321.043	254.008
25	321.279	253.952	321.083	253.962
26	321.349	253.894	321.151	253.905
27	321.211	253.761	321.013	253.773
28	321.173	253.896	320.955	253.906
29	321.268	253.882	321.055	253.885
30	321.244	253.925	321.034	253.934
31	321.244	253.955	321.032	253.959
32	321.165	254.115	320.956	254.117
33	321.049	254.017	320.843	254.035
34	321.140	254.042	320.932	254.060
35	321.147	254.058	320.939	254.069
36	321.243	254.102	321.038	254.116
37	321.222	253.915	321.007	253.932
38	321.367	253.805	321.158	253.819
39	321.539	253.707	321.328	253.715
40	321.523	253.882	321.311	253.889
41	321.570	253.867	321.366	253.871
42	321.533	253.941	321.332	253.953
43	321.538	253.830	321.331	253.844
44	321.532	253.828	321.327	253.836
45	321.496	253.817	321.290	253.825
46	321.374	253.791	321.164	253.800
47	321.333	253.940	321.131	253.954
48	321.348	254.010	321.150	254.022
49	321.385	253.855	321.182	253.866
50	321.438	253.916	321.237	253.922
51	321.481	253.900	321.276	253.904
52	321.496	253.937	321.288	253.950
53	321.455	253.810	321.244	253.818
54	321.389	253.811	321.169	253.820
55	321.285	253.957	321.076	253.958
56	321.228	253.990	321.016	254.002
57	321.240	254.049	321.030	254.043
58	321.232	253.966	321.024	253.964
59	321.259	254.000	321.052	254.006
60	321.419	254.065	321.212	254.069
61	321.369	254.269	321.167	254.278
62	321.405	254.248	321.198	254.260
63	321.288	254.254	321.075	254.258
64	321.371	254.248	321.160	254.261
65	321.348	254.101	321.133	254.111
66	321.390	254.181	321.184	254.185
67	321.557	254.204	321.338	254.218
68	321.617	254.101	321.408	254.119
69	321.595	254.078	321.378	254.091
70	321.632	253.984	321.419	253.998
71	321.711	253.968	321.503	253.982
72	321.712	253.968	321.502	253.987
73	321.914	254.120	321.712	254.135
74	321.836	254.179	321.630	254.195
75	321.889	254.090	321.685	254.098
76	321.983	254.126	321.778	254.130
77	322.129	254.272	321.923	254.278
78	322.158	254.480	321.949	254.478
79	322.253	254.396	322.035	254.399
80	322.135	254.492	321.929	254.496
81	322.169	254.583	321.962	254.586
82	322.193	254.575	321.987	254.576
83	322.133	254.630	321.928	254.634
84	322.144	254.588	321.937	254.590
85	322.133	254.521	321.931	254.517
86	322.117	254.402	321.917	254.399
87	322.012	254.421	321.811	254.424
88	321.884	254.304	321.678	254.300
89	321.936	254.048	321.725	254.046
90	321.848	254.113	321.638	254.113
91	321.895	254.027	321.684	254.029
92	321.884	253.890	321.674	253.897
93	321.926	253.925	321.711	253.932
94	321.793	253.906	321.579	253.900
95	321.767	253.945	321.546	253.939
96	321.762	254.043	321.548	254.039
97	321.675	253.995	321.463	253.990
98	321.551	253.933	321.336	253.920
99	321.630	253.819	321.404	253.805
100	321.576	254.078	321.356	254.079
101	321.523	254.154	321.307	254.148
102	321.525	254.106	321.313	254.104
103	321.606	254.002	321.400	253.991
104	321.657	253.994	321.440	253.994
105	321.547	254.194	321.336	254.188
106	321.631	254.158	321.417	254.157
107	321.664	254.219	321.452	254.213
108	321.629	254.116	321.408	254.104
109	321.689	254.008	321.483	254.012
110	321.805	254.135	321.587	254.131
111	321.803	254.091	321.586	254.094
112	321.818	254.079	321.609	254.084
113	321.819	254.254	321.594	254.253
114	321.775	254.036	321.566	254.026
115	321.695	254.065	321.479	254.052
116	321.609	254.142	321.394	254.131
117	321.697	254.154	321.482	254.150
118	321.775	253.971	321.556	253.962
119	321.684	253.908	321.462	253.897
