 	X	Y	XM	YM
1	320.515	254.027	320.313	254.041
2	320.390	254.017	320.187	254.033
3	320.482	253.970	320.292	253.987
4	320.473	253.909	320.278	253.929
5	320.656	253.879	320.462	253.893
6	320.542	253.866	320.347	253.879
7	320.577	254.000	320.392	254.017
8	320.555	254.040	320.355	254.053
9	320.736	254.052	320.539	254.066
10	320.640	253.897	320.447	253.915
11	320.606	253.829	320.409	253.849
12	320.599	253.840	320.401	253.858
13	320.524	254.040	320.332	254.049
14	320.402	253.927	320.217	253.946
15	320.450	253.899	320.259	253.907
16	320.533	253.864	320.334	253.882
17	320.645	253.879	320.454	253.899
18	320.589	254.066	320.395	254.088
19	320.589	254.012	320.395	254.025
20	320.625	254.084	320.437	254.095
21	320.742	254.093	320.554	254.107
22	320.543	254.178	320.343	254.201
23	320.598	253.921	320.405	253.945
24	320.476	253.942	320.279	253.967
25	320.503	253.914	320.302	253.929
26	320.428	253.971	320.230	253.998
27	320.416	254.000	320.221	254.016
28	320.470	254.014	320.264	254.030
29	320.303	254.057	320.101	254.078
30	320.255	253.947	320.056	253.972
31	320.172	253.888	319.971	253.914
32	320.283	253.959	320.086	253.986
33	320.406	254.018	320.208	254.041
34	320.366	253.871	320.159	253.891
35	320.278	253.970	320.077	253.996
36	320.311	253.975	320.111	254.001
37	320.333	253.999	320.137	254.025
38	320.334	254.253	320.132	254.280
39	320.423	254.191	320.236	254.213
40	320.365	254.213	320.171	254.239
41	320.476	254.030	320.288	254.056
42	320.391	254.003	320.199	254.034
43	320.387	254.042	320.195	254.073
44	320.462	254.035	320.270	254.057
45	320.376	254.110	320.184	254.136
46	320.301	253.991	320.111	254.021
47	320.298	253.992	320.104	254.021
48	320.083	254.140	319.884	254.161
49	320.197	253.888	319.998	253.912
50	320.164	253.937	319.977	253.965
51	320.158	253.966	319.964	253.999
52	320.280	253.953	320.074	253.981
53	320.137	253.977	319.937	254.005
54	320.112	254.056	319.912	254.082
55	319.941	254.117	319.741	254.146
56	320.009	254.220	319.816	254.236
57	320.068	254.144	319.880	254.158
58	320.166	254.235	319.966	254.252
59	320.198	254.269	320.011	254.291
60	320.006	254.316	319.812	254.327
61	320.012	254.354	319.810	254.374
62	320.030	254.302	319.833	254.324
63	320.097	254.288	319.897	254.310
64	320.230	254.277	320.039	254.292
65	320.475	254.422	320.272	254.442
66	320.563	254.280	320.361	254.309
67	320.563	254.391	320.365	254.416
68	320.544	254.355	320.345	254.377
69	320.597	254.372	320.397	254.400
70	320.711	254.501	320.515	254.525
71	320.702	254.473	320.499	254.491
72	320.648	254.450	320.447	254.456
73	320.623	254.375	320.417	254.387
74	320.746	254.328	320.543	254.334
75	320.739	254.521	320.538	254.541
76	320.629	254.441	320.431	254.458
77	320.613	254.548	320.397	254.559
78	320.626	254.753	320.415	254.768
79	320.596	254.830	320.384	254.838
80	320.585	254.811	320.377	254.824
81	320.656	254.725	320.447	254.730
82	320.482	254.890	320.264	254.912
83	320.543	254.951	320.325	254.959
84	320.515	254.928	320.303	254.950
85	320.463	254.835	320.245	254.840
86	320.474	254.909	320.260	254.911
87	320.617	254.822	320.406	254.829
88	320.604	254.925	320.384	254.929
89	320.532	254.826	320.330	254.836
90	320.498	254.755	320.292	254.755
91	320.467	254.805	320.257	254.810
92	320.400	254.728	320.195	254.739
93	320.454	254.710	320.241	254.721
94	320.389	254.696	320.185	254.700
95	320.425	254.683	320.215	254.699
96	320.423	254.732	320.218	254.740
97	320.422	254.869	320.222	254.876
98	320.301	254.925	320.095	254.930
99	320.356	254.923	320.156	254.930
100	320.278	254.802	320.068	254.808
101	320.231	254.697	320.028	254.702
102	320.374	254.872	320.170	254.881
103	320.355	254.805	320.153	254.815
104	320.274	254.932	320.075	254.938
105	320.315	255.085	320.117	255.082
106	320.429	255.000	320.231	255.013
107	320.493	254.948	320.297	254.958
108	320.387	254.843	320.188	254.853
109	320.433	254.931	320.234	254.940
110	320.401	254.996	320.193	255.002
111	320.573	254.951	320.367	254.952
112	320.566	254.993	320.367	254.991
113	320.599	254.991	320.407	254.997
114	320.637	255.036	320.440	255.040
115	320.608	254.851	320.402	254.850
116	320.586	254.996	320.381	254.996
117	320.752	255.048	320.549	255.051
118	320.718	255.123	320.517	255.126
119	320.816	255.124	320.605	255.130
120	320.829	255.210	320.616	255.216
121	320.864	255.173	320.667	255.186
122	320.872	255.187	320.668	255.184
123	320.853	255.202	320.648	255.208
124	320.998	255.154	320.787	255.159
125	320.862	255.213	320.649	255.216
126	320.960	255.268	320.749	255.280
127	320.969	255.232	320.764	255.242
128	320.995	255.137	320.779	255.136
129	320.937	255.017	320.731	255.029
130	320.887	254.932	320.678	254.934
131	320.902	254.872	320.693	254.882
132	320.777	254.895	320.565	254.899
133	320.717	254.800	320.504	254.809
134	320.762	254.812	320.546	254.815
135	320.576	254.738	320.369	254.745
136	320.660	254.786	320.445	254.790
137	320.622	254.580	320.417	254.582
138	320.628	254.719	320.424	254.723
139	320.547	254.779	320.344	254.787
140	320.495	254.907	320.283	254.904
141	320.676	254.878	320.465	254.875
142	320.600	254.908	320.384	254.915
143	320.560	254.866	320.356	254.866
144	320.585	254.724	320.380	254.725
145	320.628	254.785	320.425	254.792
146	320.554	254.841	320.346	254.846
147	320.694	254.676	320.492	254.666
148	320.644	254.650	320.430	254.644
149	320.783	254.614	320.583	254.611
150	320.806	254.770	320.594	254.758
151	320.521	254.691	320.316	254.687
152	320.482	254.865	320.267	254.868
153	320.445	254.741	320.238	254.742
154	320.425	254.808	320.220	254.813
155	320.295	254.930	320.080	254.928
156	320.271	254.976	320.075	254.981
157	320.196	254.943	319.988	254.951
158	320.125	255.017	319.915	255.018
159	320.003	255.023	319.788	255.018
160	320.160	254.912	319.951	254.909
161	320.247	254.881	320.036	254.880
162	320.188	254.990	319.980	254.984
163	320.236	254.877	320.034	254.868
164	320.279	254.767	320.070	254.767
165	320.252	254.681	320.042	254.667
166	320.201	254.718	319.996	254.721
167	320.199	254.778	320.005	254.780
168	320.219	254.628	320.024	254.629
169	320.340	254.683	320.141	254.683
170	320.303	254.568	320.107	254.575
171	320.262	254.669	320.057	254.677
172	320.288	254.437	320.099	254.431
173	320.354	254.380	320.163	254.373
174	320.161	254.425	319.970	254.414
175	320.398	254.587	320.198	254.587
176	320.515	254.585	320.318	254.588
177	320.525	254.540	320.326	254.547
178	320.352	254.655	320.166	254.659
179	320.216	254.713	320.016	254.712
180	320.358	254.726	320.167	254.721
181	320.495	254.665	320.300	254.659
182	320.616	254.661	320.419	254.654
183	320.452	254.664	320.263	254.664
184	320.416	254.700	320.215	254.700
185	320.354	254.764	320.157	254.759
186	320.396	254.734	320.201	254.737
