 	X	Y	XM	YM
1	321.712	253.572	321.467	253.581
2	321.592	253.567	321.353	253.567
3	321.719	253.592	321.477	253.592
4	321.652	253.662	321.407	253.663
5	321.541	253.632	321.302	253.635
6	321.597	253.690	321.358	253.692
7	321.464	253.658	321.213	253.666
8	321.528	253.652	321.289	253.663
9	321.573	253.696	321.329	253.692
10	321.494	253.592	321.254	253.599
11	321.733	253.583	321.488	253.590
12	321.779	253.524	321.532	253.531
13	321.748	253.461	321.510	253.462
14	321.836	253.453	321.595	253.462
15	321.849	253.425	321.602	253.438
16	321.974	253.340	321.732	253.348
17	321.996	253.332	321.751	253.350
18	322.065	253.384	321.823	253.393
19	322.050	253.398	321.807	253.408
20	322.074	253.418	321.830	253.415
21	322.020	253.321	321.786	253.321
22	321.881	253.344	321.641	253.353
23	321.889	253.412	321.649	253.417
24	322.091	253.479	321.837	253.479
25	322.007	253.578	321.762	253.570
26	322.047	253.548	321.799	253.548
27	322.083	253.712	321.832	253.719
28	322.124	253.723	321.871	253.720
29	322.117	253.652	321.864	253.654
30	322.042	253.605	321.796	253.611
31	322.008	253.625	321.755	253.628
32	322.143	253.631	321.888	253.638
33	322.130	253.620	321.874	253.624
34	322.234	253.518	321.982	253.519
35	322.275	253.635	322.016	253.632
36	322.379	253.652	322.109	253.636
37	322.368	253.628	322.119	253.615
38	322.381	253.597	322.118	253.589
39	322.453	253.544	322.192	253.527
40	322.442	253.651	322.178	253.629
41	322.482	253.642	322.224	253.625
42	322.387	253.594	322.131	253.586
43	322.468	253.601	322.209	253.585
44	322.344	253.518	322.089	253.511
45	322.357	253.596	322.105	253.585
46	322.418	253.707	322.158	253.691
47	322.530	253.700	322.268	253.690
48	322.434	253.747	322.179	253.747
49	322.529	253.682	322.269	253.684
50	322.586	253.609	322.329	253.614
51	322.670	253.394	322.419	253.399
52	322.688	253.433	322.435	253.433
53	322.656	253.516	322.412	253.509
54	322.857	253.471	322.602	253.476
55	322.845	253.476	322.602	253.486
56	322.768	253.429	322.514	253.431
57	322.771	253.354	322.516	253.362
58	322.803	253.359	322.554	253.356
59	322.946	253.354	322.695	253.345
60	322.953	253.286	322.692	253.276
61	323.013	253.192	322.760	253.193
62	323.023	253.190	322.764	253.192
63	323.092	253.174	322.833	253.182
64	323.071	253.135	322.824	253.131
65	323.064	253.160	322.802	253.165
66	323.113	253.121	322.864	253.120
67	322.876	253.175	322.627	253.167
68	323.096	253.101	322.851	253.095
69	322.986	253.134	322.729	253.129
70	322.867	253.075	322.607	253.077
71	322.848	252.981	322.595	252.981
72	322.870	252.939	322.626	252.939
73	322.867	252.975	322.619	252.975
74	322.875	252.793	322.617	252.788
75	322.853	252.813	322.601	252.801
76	323.036	252.831	322.788	252.827
77	323.116	252.786	322.856	252.787
78	323.222	252.805	322.968	252.797
79	323.255	252.656	322.993	252.641
80	323.195	252.761	322.934	252.743
81	323.156	252.785	322.884	252.771
82	323.126	252.799	322.869	252.777
83	323.071	252.630	322.825	252.622
84	323.137	252.678	322.879	252.673
85	323.162	252.678	322.902	252.676
86	323.127	252.638	322.874	252.624
87	323.122	252.627	322.866	252.620
88	323.166	252.572	322.912	252.560
89	323.184	252.623	322.933	252.625
90	323.262	252.645	323.011	252.641
91	323.234	252.498	322.980	252.483
92	323.262	252.429	323.009	252.424
93	323.173	252.465	322.917	252.462
94	323.310	252.503	323.047	252.507
95	323.385	252.560	323.123	252.560
96	323.500	252.469	323.240	252.474
97	323.551	252.551	323.306	252.552
98	323.496	252.466	323.247	252.456
99	323.538	252.531	323.279	252.524
100	323.512	252.580	323.255	252.568
101	323.542	252.556	323.283	252.544
102	323.519	252.584	323.261	252.562
103	323.429	252.481	323.171	252.462
104	323.387	252.432	323.129	252.436
105	323.293	252.484	323.037	252.463
106	323.237	252.498	322.972	252.485
107	323.300	252.591	323.040	252.576
108	323.151	252.513	322.887	252.495
109	323.120	252.547	322.868	252.528
110	323.125	252.535	322.866	252.524
111	322.959	252.661	322.713	252.649
112	323.027	252.705	322.774	252.703
113	322.958	252.700	322.698	252.698
114	322.912	252.820	322.662	252.813
115	322.841	252.781	322.592	252.768
116	322.851	252.794	322.583	252.779
117	322.975	252.739	322.720	252.720
118	322.881	252.590	322.621	252.570
119	322.950	252.718	322.692	252.697
120	323.058	252.785	322.796	252.767
121	322.903	252.734	322.642	252.722
122	322.886	252.734	322.625	252.725
123	322.942	252.637	322.682	252.619
124	322.773	252.664	322.509	252.655
125	322.921	252.694	322.657	252.688
126	322.921	252.596	322.663	252.594
127	322.909	252.685	322.645	252.675
128	322.970	252.591	322.712	252.585
129	322.863	252.573	322.603	252.560
130	322.729	252.526	322.463	252.517
131	322.695	252.666	322.432	252.662
132	322.570	252.660	322.312	252.649
133	322.593	252.682	322.340	252.669
134	322.650	252.737	322.388	252.728
135	322.649	252.754	322.395	252.762
136	322.585	252.843	322.335	252.831
137	322.531	252.877	322.272	252.869
138	322.495	252.980	322.243	252.969
139	322.499	253.046	322.234	253.040
140	322.467	253.180	322.213	253.177
141	322.427	253.003	322.163	253.002
142	322.468	253.002	322.217	252.985
143	322.701	253.017	322.437	253.003
144	322.684	252.847	322.420	252.834
145	322.613	252.894	322.354	252.881
146	322.674	252.901	322.413	252.896
147	322.705	252.977	322.442	252.969
148	322.718	252.890	322.472	252.880
149	322.698	252.842	322.443	252.833
150	322.655	253.001	322.411	252.997
151	322.614	252.932	322.358	252.929
152	322.642	252.909	322.397	252.898
153	322.569	252.864	322.324	252.857
154	322.460	252.709	322.211	252.709
155	322.447	252.821	322.192	252.816
156	322.595	252.814	322.345	252.803
157	322.474	252.807	322.221	252.805
158	322.441	252.809	322.192	252.812
159	322.492	252.635	322.237	252.630
160	322.470	252.729	322.213	252.719
161	322.548	252.710	322.294	252.700
162	322.561	252.684	322.303	252.676
163	322.526	252.577	322.275	252.573
164	322.505	252.533	322.246	252.521
165	322.635	252.449	322.383	252.442
166	322.584	252.477	322.334	252.479
167	322.588	252.466	322.339	252.455
168	322.699	252.416	322.447	252.401
169	322.686	252.433	322.432	252.428
170	322.522	252.414	322.273	252.412
171	322.508	252.519	322.248	252.513
172	322.555	252.460	322.299	252.438
173	322.478	252.508	322.213	252.505
174	322.347	252.500	322.096	252.493
175	322.476	252.451	322.218	252.451
176	322.401	252.506	322.146	252.506
177	322.288	252.411	322.033	252.415
178	322.221	252.448	321.969	252.448
179	322.270	252.432	322.012	252.438
180	322.265	252.486	322.013	252.495
181	322.423	252.648	322.172	252.651
182	322.217	252.767	321.958	252.766
183	322.302	252.727	322.039	252.734
184	322.251	252.798	321.999	252.792
185	322.340	252.939	322.075	252.932
186	322.375	253.034	322.125	253.036
187	322.450	253.015	322.194	253.014
188	322.391	253.055	322.136	253.051
189	322.432	252.995	322.167	253.000
190	322.375	252.973	322.119	252.965
191	322.307	252.939	322.051	252.926
192	322.488	252.932	322.233	252.929
193	322.507	252.948	322.240	252.943
194	322.416	252.826	322.151	252.820
195	322.482	253.065	322.216	253.059
196	322.419	252.984	322.160	252.984
197	322.516	253.056	322.258	253.048
198	322.530	253.167	322.259	253.158
199	322.533	253.144	322.265	253.138
200	322.613	253.091	322.351	253.093
201	322.499	252.970	322.236	252.954
202	322.632	252.952	322.369	252.956
203	322.649	252.947	322.386	252.948
204	322.593	253.072	322.331	253.071
205	322.551	253.108	322.294	253.109
206	322.368	253.203	322.115	253.209
207	322.287	253.060	322.038	253.057
208	322.186	253.120	321.933	253.120
209	322.248	252.995	321.993	252.990
210	322.130	253.041	321.869	253.036
211	322.126	253.183	321.865	253.175
212	322.124	253.111	321.878	253.117
213	322.238	252.959	321.987	252.956
214	322.259	252.932	322.012	252.941
215	322.153	253.017	321.909	253.019
216	322.232	253.046	321.975	253.032
217	322.361	253.041	322.099	253.041
218	322.409	253.028	322.151	253.021
219	322.313	252.835	322.051	252.834
220	322.202	252.821	321.941	252.810
221	322.150	252.937	321.885	252.936
222	322.260	252.910	322.001	252.902
223	322.168	252.903	321.910	252.897
224	322.155	252.881	321.893	252.886
225	322.161	252.891	321.900	252.895
226	322.233	252.868	321.970	252.880
227	322.197	252.721	321.931	252.721
228	322.238	252.753	321.982	252.756
229	322.158	252.523	321.902	252.532
230	322.306	252.566	322.048	252.579
231	322.104	252.593	321.854	252.597
232	322.112	252.573	321.855	252.583
233	322.098	252.678	321.843	252.688
234	322.027	252.761	321.765	252.774
235	322.010	252.748	321.750	252.759
236	322.022	252.728	321.754	252.741
237	321.960	252.883	321.709	252.894
238	321.927	252.869	321.671	252.881
239	321.959	252.990	321.704	252.992
240	321.999	253.047	321.737	253.056
241	321.962	252.872	321.707	252.881
242	321.862	252.785	321.604	252.792
243	321.918	252.669	321.651	252.670
244	321.828	252.583	321.570	252.579
245	321.969	252.626	321.715	252.622
246	322.021	252.710	321.773	252.704
247	321.843	252.662	321.587	252.661
248	321.839	252.567	321.585	252.567
249	321.986	252.499	321.724	252.496
250	322.015	252.523	321.757	252.516
251	322.035	252.621	321.782	252.614
252	321.886	252.434	321.615	252.431
253	322.025	252.429	321.768	252.428
254	321.873	252.400	321.619	252.400
255	321.892	252.450	321.634	252.448
256	322.013	252.439	321.750	252.430
