 	X	Y	XM	YM
1	322.169	253.640	321.999	253.633
2	322.177	253.569	322.011	253.567
3	322.288	253.529	322.116	253.525
4	322.198	253.547	322.019	253.539
5	322.297	253.504	322.118	253.502
6	322.250	253.489	322.078	253.490
7	322.110	253.560	321.942	253.553
8	322.197	253.467	322.022	253.470
9	322.170	253.361	321.997	253.356
10	322.148	253.409	321.980	253.403
11	322.243	253.327	322.081	253.312
12	322.193	253.247	322.026	253.235
13	322.236	253.308	322.072	253.306
14	322.175	253.417	322.014	253.407
15	322.092	253.490	321.935	253.479
16	322.111	253.409	321.944	253.398
17	322.125	253.422	321.959	253.415
18	322.082	253.470	321.907	253.456
19	322.052	253.335	321.884	253.338
20	322.145	253.330	321.971	253.324
21	322.125	253.218	321.951	253.216
22	322.057	253.232	321.889	253.228
23	322.118	253.168	321.947	253.168
24	322.112	253.177	321.926	253.165
25	322.008	253.072	321.832	253.062
26	322.090	253.084	321.913	253.072
27	322.061	253.083	321.877	253.072
28	322.042	253.158	321.866	253.154
29	322.171	253.145	321.995	253.131
30	322.096	253.142	321.921	253.132
31	322.091	253.148	321.933	253.135
32	322.209	253.214	322.034	253.200
33	322.232	253.203	322.060	253.190
34	322.094	253.229	321.917	253.218
35	321.939	253.311	321.760	253.297
36	322.195	253.248	322.028	253.240
37	322.209	253.288	322.034	253.276
38	322.122	253.362	321.946	253.345
39	322.086	253.487	321.910	253.465
40	322.078	253.437	321.907	253.420
41	322.051	253.350	321.883	253.330
42	321.983	253.385	321.810	253.369
43	321.853	253.284	321.675	253.258
44	321.870	253.434	321.696	253.409
45	321.807	253.481	321.629	253.453
46	321.820	253.468	321.626	253.450
47	321.795	253.503	321.608	253.480
48	321.835	253.408	321.645	253.379
49	321.807	253.375	321.629	253.352
50	321.953	253.281	321.770	253.248
51	321.987	253.351	321.807	253.324
52	322.080	253.519	321.895	253.492
53	322.080	253.386	321.901	253.366
54	322.006	253.334	321.828	253.309
55	321.922	253.438	321.750	253.417
56	321.857	253.556	321.680	253.536
57	321.845	253.339	321.672	253.324
58	321.996	253.374	321.822	253.360
59	322.046	253.428	321.883	253.402
60	322.103	253.406	321.947	253.383
61	322.178	253.407	322.006	253.377
62	322.085	253.444	321.915	253.413
63	322.197	253.365	322.019	253.343
64	322.236	253.314	322.059	253.277
65	322.190	253.382	322.019	253.342
66	322.102	253.292	321.931	253.261
67	322.165	253.275	321.985	253.234
68	322.168	253.081	321.989	253.058
69	322.056	253.141	321.877	253.114
70	322.035	253.229	321.852	253.194
71	321.976	253.130	321.797	253.092
72	322.040	253.078	321.859	253.047
73	321.938	253.212	321.754	253.173
74	321.945	253.230	321.761	253.191
75	321.938	253.260	321.752	253.221
76	321.953	253.196	321.768	253.165
77	321.926	253.165	321.742	253.127
78	321.934	253.122	321.754	253.079
79	322.069	253.108	321.884	253.062
80	321.981	252.975	321.791	252.936
81	321.930	253.012	321.740	252.970
82	321.837	253.087	321.645	253.055
83	321.998	253.143	321.804	253.100
84	322.023	253.169	321.822	253.124
85	322.047	253.017	321.853	252.986
86	322.100	252.959	321.895	252.918
87	322.126	253.024	321.931	252.986
88	322.180	252.993	321.980	252.945
89	322.059	253.059	321.856	253.014
90	322.042	253.195	321.836	253.155
91	322.181	253.122	321.984	253.087
92	322.152	253.119	321.949	253.083
93	322.075	253.170	321.863	253.133
94	322.155	253.253	321.942	253.215
95	322.150	253.166	321.932	253.118
96	322.062	253.101	321.850	253.057
97	322.008	253.056	321.787	253.021
98	321.840	253.056	321.623	253.017
99	321.912	252.944	321.692	252.903
100	322.071	253.015	321.854	252.977
101	321.909	252.812	321.690	252.787
102	321.974	252.908	321.753	252.873
103	321.942	252.753	321.725	252.724
104	322.057	252.808	321.825	252.773
105	322.221	252.634	322.008	252.601
106	322.246	252.596	322.020	252.574
107	322.354	252.571	322.137	252.539
108	322.281	252.506	322.060	252.490
109	322.299	252.412	322.076	252.393
110	322.335	252.422	322.113	252.403
111	322.363	252.384	322.141	252.357
112	322.476	252.324	322.253	252.293
113	322.429	252.402	322.218	252.371
114	322.424	252.452	322.208	252.429
115	322.395	252.587	322.180	252.562
116	322.538	252.523	322.314	252.504
117	322.465	252.628	322.246	252.603
118	322.599	252.562	322.377	252.550
119	322.501	252.658	322.278	252.635
120	322.483	252.614	322.266	252.597
121	322.537	252.633	322.311	252.607
122	322.581	252.681	322.357	252.658
123	322.618	252.518	322.404	252.489
124	322.669	252.595	322.450	252.579
125	322.695	252.492	322.471	252.473
126	322.842	252.377	322.607	252.359
127	322.781	252.379	322.562	252.357
128	322.844	252.406	322.622	252.394
129	322.893	252.348	322.673	252.328
130	322.813	252.183	322.595	252.162
131	322.834	252.083	322.618	252.062
132	322.749	252.148	322.538	252.125
133	322.856	252.186	322.652	252.161
134	322.988	252.274	322.778	252.268
135	322.894	252.382	322.690	252.371
136	322.883	252.491	322.678	252.462
137	322.862	252.462	322.657	252.439
138	322.671	252.460	322.472	252.435
139	322.700	252.419	322.498	252.404
140	322.680	252.554	322.483	252.532
141	322.696	252.597	322.496	252.576
142	322.584	252.550	322.383	252.536
143	322.693	252.633	322.507	252.606
144	322.766	252.676	322.575	252.661
145	322.853	252.769	322.672	252.766
146	322.991	252.669	322.800	252.658
147	322.987	252.739	322.815	252.716
148	323.071	252.811	322.898	252.808
149	323.166	252.854	322.994	252.852
150	323.079	252.943	322.919	252.925
151	323.180	252.847	323.008	252.830
152	323.196	252.927	323.031	252.919
153	322.990	252.992	322.820	252.975
