 	X	Y	XM	YM
1	320.387	253.813	320.081	253.814
2	320.342	253.805	320.034	253.803
3	320.259	253.767	319.955	253.766
4	320.156	253.705	319.854	253.705
5	320.240	253.663	319.933	253.654
6	320.301	253.550	319.996	253.544
7	320.274	253.483	319.966	253.478
8	320.174	253.530	319.867	253.524
9	320.041	253.589	319.730	253.588
10	320.087	253.623	319.771	253.622
11	319.966	253.519	319.656	253.525
12	319.995	253.602	319.688	253.606
13	320.129	253.582	319.819	253.582
14	320.185	253.512	319.879	253.529
15	320.104	253.592	319.801	253.609
16	319.982	253.607	319.669	253.616
17	319.923	253.645	319.619	253.654
18	319.901	253.531	319.588	253.539
19	319.940	253.574	319.636	253.579
20	319.949	253.499	319.646	253.505
21	320.030	253.427	319.718	253.441
22	320.029	253.434	319.716	253.441
23	320.015	253.406	319.707	253.424
24	320.077	253.391	319.760	253.399
25	320.016	253.326	319.704	253.336
26	320.027	253.252	319.714	253.258
27	319.822	253.362	319.512	253.361
28	319.816	253.375	319.511	253.387
29	319.739	253.460	319.423	253.471
30	319.825	253.479	319.508	253.478
31	319.853	253.465	319.540	253.462
32	319.881	253.497	319.566	253.502
33	319.935	253.595	319.625	253.593
34	320.029	253.522	319.720	253.525
35	320.031	253.504	319.721	253.516
36	319.984	253.403	319.675	253.412
37	320.026	253.532	319.710	253.534
38	320.045	253.188	319.732	253.196
39	320.034	253.151	319.722	253.156
40	320.043	253.108	319.740	253.115
41	319.967	253.115	319.656	253.124
42	319.923	253.079	319.609	253.090
43	319.927	253.008	319.622	253.018
44	319.848	252.836	319.533	252.849
45	319.841	252.889	319.536	252.899
46	319.755	252.743	319.451	252.753
47	319.824	252.819	319.513	252.820
48	319.952	252.959	319.640	252.964
49	319.870	253.090	319.566	253.095
50	319.839	253.146	319.533	253.151
51	319.947	253.122	319.632	253.128
52	319.875	253.207	319.564	253.213
53	319.995	253.072	319.694	253.075
54	319.956	253.092	319.652	253.098
55	320.031	253.177	319.728	253.176
56	319.967	253.284	319.657	253.286
57	319.906	253.180	319.599	253.180
58	319.922	253.010	319.619	253.021
59	319.956	253.031	319.654	253.040
60	319.886	252.870	319.575	252.877
61	319.976	252.716	319.664	252.721
62	319.931	252.757	319.625	252.768
63	320.022	252.866	319.713	252.878
64	320.084	252.764	319.768	252.771
65	319.972	252.628	319.673	252.628
66	320.205	252.785	319.890	252.800
67	320.141	252.898	319.840	252.897
68	320.210	252.955	319.908	252.960
69	320.246	252.816	319.941	252.817
70	320.227	252.799	319.918	252.797
71	320.238	252.820	319.938	252.816
72	320.102	252.775	319.794	252.773
73	320.271	252.858	319.961	252.868
74	320.182	252.842	319.867	252.844
75	320.191	252.856	319.890	252.857
76	320.177	252.755	319.872	252.754
77	320.261	252.735	319.961	252.743
78	320.336	252.773	320.036	252.779
79	320.355	252.886	320.055	252.890
80	320.411	252.860	320.104	252.856
81	320.242	252.967	319.936	252.971
82	320.287	252.974	319.973	252.973
83	320.237	252.861	319.934	252.868
84	320.110	252.929	319.804	252.947
85	320.127	253.059	319.819	253.064
86	320.075	253.096	319.776	253.106
