 	X	Y	XM	YM
1	322.408	254.334	322.165	254.341
2	322.375	254.323	322.126	254.333
3	322.375	254.332	322.130	254.343
4	322.393	254.395	322.148	254.395
5	322.445	254.326	322.195	254.333
6	322.564	254.321	322.317	254.338
7	322.557	254.423	322.313	254.438
8	322.494	254.363	322.251	254.371
9	322.403	254.388	322.158	254.401
10	322.481	254.369	322.242	254.376
11	322.580	254.314	322.327	254.320
12	322.400	254.304	322.165	254.318
13	322.429	254.333	322.187	254.347
14	322.498	254.273	322.257	254.286
15	322.602	254.260	322.361	254.267
16	322.656	254.265	322.418	254.276
17	322.603	254.313	322.363	254.317
18	322.615	254.280	322.372	254.292
19	322.695	254.212	322.452	254.220
20	322.773	254.124	322.528	254.136
21	322.636	253.995	322.393	254.001
22	322.591	254.094	322.347	254.117
23	322.704	254.219	322.468	254.229
24	322.800	254.014	322.557	254.032
25	322.773	253.890	322.532	253.911
26	322.830	253.661	322.586	253.673
27	322.782	253.624	322.533	253.636
28	322.788	253.746	322.542	253.763
29	322.776	253.731	322.533	253.746
30	322.808	253.836	322.561	253.851
31	322.760	253.877	322.510	253.890
32	322.737	253.921	322.487	253.941
33	322.642	253.855	322.384	253.864
34	322.613	253.808	322.363	253.819
35	322.720	253.756	322.469	253.765
36	322.669	253.768	322.419	253.780
37	322.586	253.875	322.326	253.875
38	322.630	253.890	322.363	253.893
39	322.508	253.717	322.243	253.710
40	322.493	253.672	322.227	253.665
41	322.431	253.570	322.170	253.581
42	322.489	253.542	322.233	253.551
43	322.534	253.554	322.277	253.565
44	322.593	253.562	322.334	253.564
45	322.526	253.474	322.267	253.478
46	322.591	253.568	322.337	253.576
47	322.675	253.643	322.417	253.643
48	322.726	253.801	322.476	253.803
49	322.727	253.715	322.480	253.723
50	322.703	253.659	322.446	253.661
51	322.647	253.841	322.379	253.843
52	322.633	253.671	322.375	253.673
53	322.560	253.760	322.301	253.769
54	322.580	253.823	322.328	253.817
55	322.616	253.711	322.358	253.710
56	322.618	253.646	322.348	253.644
57	322.607	253.455	322.349	253.463
58	322.540	253.382	322.280	253.377
59	322.574	253.284	322.308	253.270
60	322.433	253.100	322.178	253.096
61	322.388	252.984	322.128	252.983
62	322.442	253.087	322.182	253.080
63	322.476	252.967	322.218	252.964
64	322.459	252.986	322.186	252.986
65	322.500	253.056	322.241	253.055
66	322.468	253.113	322.207	253.113
67	322.449	252.970	322.188	252.981
68	322.526	252.952	322.258	252.956
69	322.541	252.975	322.282	252.974
70	322.568	252.987	322.311	252.993
71	322.491	253.125	322.213	253.132
72	322.389	253.230	322.115	253.220
73	322.452	253.125	322.181	253.128
74	322.482	253.135	322.218	253.133
75	322.665	253.398	322.399	253.394
76	322.677	253.358	322.407	253.369
77	322.548	253.254	322.286	253.268
78	322.485	253.425	322.223	253.427
79	322.348	253.327	322.102	253.330
80	322.166	253.344	321.905	253.349
81	322.163	253.236	321.914	253.245
82	322.099	253.381	321.854	253.393
83	322.128	253.368	321.866	253.368
84	322.136	253.216	321.875	253.226
85	322.111	253.206	321.858	253.215
86	322.013	253.242	321.749	253.252
87	321.992	253.183	321.728	253.200
88	321.979	253.200	321.718	253.214
89	321.988	253.204	321.731	253.220
90	321.932	253.266	321.681	253.275
91	321.843	253.241	321.587	253.262
