 	X	Y	XM	YM
1	319.944	255.061	319.722	255.082
2	320.062	255.065	319.831	255.099
3	320.115	255.072	319.892	255.087
4	320.090	255.186	319.856	255.210
5	320.117	255.121	319.897	255.135
6	320.087	255.038	319.860	255.058
7	320.028	255.049	319.805	255.078
8	319.928	255.140	319.703	255.159
9	320.004	255.231	319.783	255.251
10	319.999	255.114	319.774	255.135
11	319.908	255.096	319.674	255.123
12	320.031	255.127	319.805	255.146
13	319.927	255.186	319.704	255.209
14	320.038	255.259	319.818	255.290
15	320.036	255.227	319.809	255.253
16	320.073	255.168	319.837	255.190
17	320.163	255.240	319.937	255.259
18	320.212	255.381	319.987	255.411
19	320.121	255.399	319.890	255.432
20	320.100	255.282	319.880	255.317
21	320.229	255.270	320.006	255.296
22	320.317	255.010	320.101	255.038
23	320.211	254.928	319.989	254.960
24	320.161	254.945	319.939	254.972
25	320.219	254.966	320.006	254.992
26	320.246	254.942	320.036	254.964
27	320.242	254.890	320.025	254.914
28	320.222	255.111	320.004	255.139
29	320.094	254.987	319.877	255.010
30	320.155	255.120	319.931	255.145
31	320.191	255.074	319.977	255.099
32	320.106	255.027	319.889	255.057
33	320.306	255.024	320.085	255.042
34	320.226	254.978	320.009	255.000
35	320.313	255.036	320.098	255.057
36	320.305	255.107	320.096	255.122
37	320.359	255.244	320.139	255.271
38	320.310	255.223	320.086	255.243
39	320.367	255.281	320.147	255.303
40	320.436	255.120	320.212	255.140
41	320.360	255.147	320.139	255.171
42	320.225	255.161	320.000	255.187
43	320.195	255.195	319.978	255.223
44	320.275	255.150	320.053	255.174
45	320.221	255.100	320.004	255.131
46	320.302	254.995	320.078	255.024
47	320.194	255.030	319.978	255.056
48	320.085	255.174	319.870	255.200
49	320.190	255.043	319.970	255.069
50	320.213	254.971	319.989	255.008
51	320.227	254.958	320.010	254.995
52	320.347	254.947	320.128	254.974
53	320.301	254.923	320.078	254.950
54	320.445	254.966	320.225	255.002
55	320.438	254.945	320.216	254.976
56	320.473	254.926	320.258	254.958
57	320.476	254.867	320.258	254.907
58	320.445	254.918	320.225	254.955
59	320.638	254.972	320.417	255.010
60	320.529	255.002	320.312	255.037
61	320.511	255.062	320.288	255.095
62	320.285	255.101	320.060	255.128
63	320.219	255.097	319.990	255.119
64	320.211	255.070	319.991	255.101
65	320.253	255.180	320.033	255.206
66	320.313	255.177	320.093	255.196
67	320.332	255.109	320.116	255.141
68	320.253	255.208	320.039	255.242
69	320.207	255.192	320.000	255.215
70	320.305	255.171	320.094	255.187
71	320.503	255.219	320.284	255.246
72	320.548	255.294	320.327	255.318
73	320.566	255.235	320.344	255.258
74	320.473	255.277	320.252	255.299
75	320.530	255.250	320.305	255.268
76	320.553	255.221	320.328	255.244
77	320.482	255.113	320.268	255.132
78	320.533	255.155	320.313	255.182
79	320.466	255.034	320.249	255.056
80	320.468	255.006	320.249	255.038
81	320.601	254.929	320.393	254.953
82	320.525	254.945	320.308	254.973
83	320.560	255.120	320.346	255.142
84	320.540	255.120	320.316	255.143
85	320.432	255.051	320.220	255.078
86	320.448	255.015	320.228	255.037
87	320.437	255.074	320.221	255.093
88	320.477	255.166	320.251	255.188
89	320.398	255.150	320.182	255.178
90	320.343	255.122	320.124	255.143
91	320.348	255.117	320.124	255.146
92	320.312	255.112	320.090	255.137
93	320.324	254.964	320.112	254.987
94	320.278	254.825	320.059	254.848
95	320.257	254.792	320.033	254.809
96	320.229	254.686	320.009	254.703
97	320.179	254.653	319.968	254.671
98	320.159	254.594	319.937	254.617
99	320.116	254.556	319.897	254.578
100	319.966	254.413	319.745	254.441
101	320.034	254.509	319.820	254.538
102	319.938	254.481	319.721	254.498
103	320.015	254.426	319.792	254.444
104	320.071	254.327	319.852	254.355
105	320.148	254.325	319.928	254.345
106	320.133	254.283	319.923	254.307
107	319.975	254.287	319.756	254.320
108	319.938	254.399	319.722	254.431
109	320.026	254.420	319.809	254.450
