 	X	Y	XM	YM
1	319.194	253.906	318.841	253.909
2	319.186	253.942	318.832	253.940
3	319.212	254.070	318.859	254.068
4	319.360	254.087	319.014	254.087
5	319.318	254.180	318.963	254.168
6	319.362	254.358	319.014	254.359
7	319.420	254.404	319.068	254.406
8	319.342	254.493	318.987	254.494
9	319.369	254.449	319.006	254.437
10	319.439	254.498	319.089	254.493
11	319.445	254.666	319.096	254.662
12	319.444	254.659	319.098	254.655
13	319.476	254.776	319.120	254.771
14	319.342	254.731	318.994	254.718
15	319.154	254.706	318.808	254.714
16	319.249	254.722	318.890	254.717
17	319.099	254.716	318.745	254.713
18	319.166	254.675	318.811	254.669
19	319.146	254.526	318.785	254.527
20	319.047	254.500	318.689	254.503
21	318.910	254.376	318.551	254.380
22	318.989	254.349	318.625	254.343
23	318.943	254.376	318.591	254.377
24	318.872	254.357	318.524	254.349
25	318.846	254.285	318.489	254.280
26	318.904	254.208	318.540	254.201
27	318.936	254.282	318.574	254.263
28	318.906	254.239	318.553	254.225
29	318.825	254.359	318.463	254.357
30	318.860	254.336	318.495	254.330
31	318.868	254.356	318.503	254.344
32	318.861	254.327	318.510	254.333
33	318.906	254.243	318.547	254.252
34	318.946	254.282	318.584	254.278
35	318.809	254.237	318.443	254.239
36	318.894	254.354	318.532	254.347
37	318.950	254.430	318.591	254.430
38	319.013	254.346	318.652	254.343
39	318.963	254.417	318.599	254.416
40	318.871	254.427	318.513	254.416
41	319.050	254.309	318.687	254.296
42	319.051	254.305	318.686	254.298
43	319.050	254.303	318.691	254.297
44	318.963	254.175	318.610	254.164
45	318.896	254.115	318.534	254.114
46	318.978	254.097	318.626	254.093
47	319.015	254.137	318.648	254.127
48	318.894	254.127	318.535	254.129
49	318.909	254.240	318.554	254.243
50	318.802	254.324	318.440	254.313
51	318.859	254.349	318.494	254.340
52	318.917	254.415	318.565	254.410
53	318.933	254.415	318.586	254.413
54	318.920	254.386	318.565	254.373
55	318.973	254.396	318.622	254.380
56	318.906	254.366	318.557	254.352
57	318.906	254.451	318.550	254.439
58	319.081	254.462	318.723	254.451
59	319.180	254.495	318.820	254.492
60	319.225	254.557	318.875	254.546
61	319.265	254.644	318.921	254.630
62	319.127	254.617	318.778	254.607
63	319.202	254.611	318.852	254.597
64	319.098	254.595	318.750	254.585
65	319.029	254.580	318.676	254.572
66	319.145	254.701	318.795	254.687
67	319.191	254.828	318.842	254.810
68	319.087	254.899	318.731	254.898
69	318.984	254.791	318.613	254.782
70	318.925	254.791	318.556	254.772
71	318.875	254.618	318.514	254.618
72	318.827	254.650	318.469	254.640
73	318.833	254.506	318.471	254.497
74	318.857	254.534	318.489	254.530
75	318.805	254.602	318.433	254.588
76	318.853	254.561	318.484	254.556
77	318.849	254.523	318.501	254.519
78	318.868	254.545	318.514	254.540
79	318.804	254.515	318.446	254.511
80	318.811	254.517	318.459	254.515
81	318.787	254.501	318.423	254.493
82	318.813	254.524	318.449	254.523
83	318.832	254.617	318.467	254.628
84	318.907	254.741	318.544	254.747
85	318.828	254.913	318.469	254.907
86	318.897	254.856	318.534	254.848
87	318.949	254.956	318.583	254.950
88	318.907	254.945	318.545	254.939
89	318.884	254.853	318.519	254.837
90	318.897	254.840	318.535	254.830
91	318.955	254.805	318.591	254.792
92	318.953	254.898	318.592	254.878
93	318.951	254.834	318.585	254.816
94	319.077	254.874	318.719	254.852
