 	X	Y	XM	YM
1	321.587	254.520	321.328	254.596
2	321.542	254.588	321.282	254.675
3	321.547	254.628	321.294	254.698
4	321.555	254.510	321.302	254.582
5	321.695	254.492	321.446	254.560
6	321.752	254.490	321.494	254.565
7	321.833	254.531	321.578	254.601
8	321.772	254.483	321.516	254.557
9	321.678	254.517	321.421	254.587
10	321.545	254.502	321.289	254.568
11	321.482	254.354	321.234	254.430
12	321.467	254.471	321.211	254.537
13	321.502	254.446	321.258	254.511
14	321.546	254.321	321.290	254.395
15	321.617	254.261	321.370	254.334
16	321.659	254.339	321.398	254.406
17	321.660	254.306	321.406	254.372
18	321.632	254.446	321.387	254.511
19	321.676	254.519	321.430	254.586
20	321.703	254.623	321.456	254.687
21	321.735	254.590	321.486	254.649
22	321.718	254.576	321.466	254.637
23	321.700	254.576	321.441	254.642
24	321.726	254.535	321.478	254.589
25	321.551	254.512	321.311	254.572
26	321.751	254.478	321.510	254.543
27	321.766	254.384	321.514	254.455
28	321.765	254.433	321.513	254.494
29	321.847	254.542	321.600	254.611
30	321.804	254.616	321.553	254.686
31	321.776	254.573	321.538	254.649
32	321.715	254.636	321.471	254.696
33	321.756	254.650	321.515	254.711
34	321.525	254.660	321.275	254.723
35	321.478	254.622	321.232	254.683
36	321.536	254.629	321.286	254.681
37	321.509	254.598	321.266	254.654
38	321.496	254.595	321.259	254.655
39	321.452	254.602	321.205	254.665
40	321.332	254.630	321.097	254.679
41	321.392	254.622	321.151	254.681
42	321.363	254.633	321.127	254.687
43	321.263	254.596	321.031	254.659
44	321.309	254.688	321.078	254.748
45	321.310	254.506	321.074	254.568
46	321.263	254.476	321.023	254.526
47	321.269	254.478	321.030	254.527
48	321.346	254.583	321.102	254.628
49	321.495	254.559	321.266	254.611
50	321.559	254.428	321.321	254.480
51	321.576	254.585	321.335	254.633
52	321.608	254.688	321.378	254.740
53	321.532	254.566	321.299	254.617
54	321.478	254.488	321.248	254.535
55	321.336	254.438	321.104	254.501
56	321.289	254.465	321.058	254.527
57	321.185	254.375	320.943	254.441
58	321.230	254.299	320.991	254.351
59	321.217	254.340	320.980	254.399
60	321.224	254.418	320.983	254.477
61	321.055	254.364	320.818	254.428
62	321.157	254.486	320.920	254.554
63	321.125	254.497	320.892	254.560
64	321.147	254.487	320.912	254.554
65	321.179	254.556	320.938	254.618
66	321.213	254.493	320.974	254.561
67	321.332	254.487	321.100	254.557
68	321.336	254.596	321.099	254.667
69	321.282	254.513	321.045	254.589
70	321.338	254.448	321.112	254.530
71	321.296	254.501	321.065	254.575
72	321.326	254.403	321.093	254.469
73	321.366	254.296	321.136	254.371
74	321.244	254.269	321.021	254.338
75	321.207	254.114	320.984	254.184
76	321.302	254.228	321.068	254.306
77	321.362	254.154	321.140	254.233
78	321.329	254.076	321.097	254.164
79	321.233	254.129	320.999	254.199
80	321.291	254.170	321.067	254.243
81	321.147	254.207	320.924	254.272
82	321.109	254.247	320.879	254.319
83	321.144	254.196	320.914	254.262
84	321.098	254.301	320.858	254.380
85	321.187	254.399	320.955	254.472
86	321.117	254.413	320.894	254.490
87	321.316	254.286	321.071	254.358
88	321.282	254.287	321.053	254.367
89	321.253	254.130	321.024	254.211
90	321.155	254.033	320.919	254.110
91	321.132	254.001	320.897	254.073
92	321.136	253.995	320.909	254.064
93	321.111	254.020	320.876	254.096
94	321.108	253.967	320.877	254.039
95	321.161	253.847	320.924	253.916
96	321.187	253.834	320.946	253.905
97	321.279	253.796	321.043	253.863
98	321.272	253.785	321.041	253.846
99	321.320	253.842	321.082	253.912
100	321.447	253.850	321.211	253.920
101	321.518	253.906	321.283	253.974
102	321.541	253.775	321.310	253.842
103	321.561	253.787	321.342	253.858
104	321.663	253.781	321.440	253.847
105	321.613	253.774	321.389	253.846
106	321.524	253.749	321.300	253.825
107	321.588	253.735	321.354	253.803
108	321.423	253.648	321.189	253.715
109	321.374	253.625	321.142	253.697
110	321.330	253.693	321.105	253.764
111	321.287	253.772	321.062	253.843
112	321.234	253.785	321.005	253.862
113	321.184	253.854	320.954	253.925
114	321.299	253.831	321.074	253.902
115	321.309	253.776	321.080	253.850
116	321.267	253.709	321.044	253.786
117	321.216	253.727	320.993	253.806
118	321.183	253.817	320.959	253.888
119	321.129	253.842	320.900	253.916
120	321.250	253.920	321.028	253.999
121	321.318	253.940	321.093	254.015
122	321.283	253.996	321.067	254.073
123	321.344	254.057	321.122	254.126
124	321.180	253.992	320.955	254.066
125	321.125	254.026	320.912	254.100
126	321.145	253.927	320.927	254.001
127	321.245	253.958	321.021	254.034
128	321.090	253.924	320.859	253.997
129	320.978	253.886	320.754	253.959
130	321.021	253.965	320.796	254.040
131	321.001	253.899	320.776	253.970
132	320.932	253.786	320.701	253.864
133	320.938	253.910	320.714	253.977
134	320.882	253.811	320.652	253.887
135	320.963	253.845	320.734	253.926
136	320.920	253.791	320.694	253.856
137	320.848	253.690	320.618	253.770
138	320.796	253.776	320.568	253.837
139	320.825	253.754	320.599	253.830
140	320.907	253.829	320.681	253.900
141	320.880	253.833	320.649	253.903
142	320.833	253.773	320.607	253.842
143	320.876	253.803	320.648	253.879
144	320.825	253.709	320.602	253.792
145	320.799	253.779	320.568	253.841
146	320.882	253.737	320.659	253.806
147	320.855	253.777	320.629	253.839
148	320.721	253.726	320.499	253.791
149	320.685	253.731	320.456	253.806
150	320.707	253.691	320.471	253.759
151	320.744	253.642	320.510	253.703
152	320.666	253.616	320.428	253.681
153	320.672	253.595	320.447	253.665
154	320.675	253.697	320.439	253.762
155	320.563	253.764	320.328	253.835
156	320.492	253.603	320.253	253.686
157	320.620	253.597	320.396	253.668
158	320.616	253.659	320.378	253.732
159	320.541	253.627	320.307	253.695
160	320.594	253.686	320.363	253.755
161	320.631	253.703	320.389	253.780
162	320.734	253.779	320.504	253.853
163	320.818	253.818	320.572	253.890
164	320.686	253.871	320.452	253.930
165	320.729	253.979	320.490	254.047
166	320.738	254.120	320.499	254.179
167	320.696	254.123	320.465	254.180
168	320.652	254.158	320.419	254.216
169	320.638	254.168	320.406	254.227
170	320.724	254.149	320.491	254.208
171	320.757	254.287	320.527	254.349
172	320.803	254.327	320.580	254.386
173	320.697	254.200	320.472	254.262
174	320.701	254.055	320.470	254.114
175	320.572	254.032	320.350	254.092
176	320.488	253.983	320.265	254.035
177	320.566	253.948	320.333	254.007
178	320.510	254.056	320.283	254.116
179	320.444	254.117	320.214	254.181
180	320.442	254.133	320.208	254.198
181	320.500	254.167	320.279	254.233
182	320.614	254.186	320.391	254.247
183	320.549	254.209	320.323	254.278
184	320.702	254.296	320.475	254.356
185	320.576	254.271	320.349	254.352
186	320.598	254.329	320.374	254.398
187	320.543	254.407	320.319	254.484
188	320.534	254.344	320.311	254.423
189	320.520	254.305	320.298	254.378
190	320.573	254.294	320.346	254.368
191	320.590	254.284	320.366	254.354
192	320.714	254.265	320.487	254.333
193	320.739	254.250	320.515	254.325
194	320.822	254.328	320.601	254.398
195	320.848	254.260	320.617	254.325
196	320.850	254.223	320.621	254.289
197	320.878	254.249	320.652	254.311
198	320.903	254.096	320.684	254.173
199	320.878	254.247	320.657	254.318
200	320.942	254.327	320.717	254.401
201	321.129	254.181	320.901	254.258
202	321.148	254.260	320.917	254.346
203	321.096	254.139	320.872	254.202
204	321.053	254.011	320.829	254.071
205	320.986	253.917	320.761	253.982
206	320.961	253.878	320.736	253.941
207	320.892	253.772	320.668	253.847
208	320.972	253.743	320.755	253.811
209	320.915	253.794	320.693	253.865
210	320.917	253.931	320.700	254.000
211	321.051	253.979	320.816	254.041
212	321.049	253.924	320.821	253.990
213	321.034	253.851	320.801	253.916
214	320.981	253.923	320.759	253.987
215	320.976	253.966	320.757	254.034
216	321.020	253.955	320.805	254.013
217	320.942	253.921	320.725	253.977
218	321.023	253.874	320.799	253.945
219	321.030	253.889	320.815	253.950
220	321.029	253.735	320.799	253.799
221	320.965	253.754	320.739	253.821
222	320.832	253.707	320.611	253.777
223	320.766	253.754	320.537	253.820
224	320.795	253.903	320.567	253.970
225	320.823	253.826	320.590	253.905
226	320.854	253.769	320.635	253.827
227	320.875	253.886	320.652	253.948
228	320.891	254.022	320.665	254.098
229	321.033	254.091	320.811	254.148
230	320.936	254.035	320.720	254.097
231	320.912	253.994	320.688	254.062
232	320.872	253.870	320.649	253.932
233	320.867	253.903	320.644	253.965
234	320.833	253.870	320.609	253.936
235	320.790	253.800	320.569	253.864
236	320.718	253.790	320.490	253.855
237	320.714	253.837	320.490	253.899
238	320.601	253.732	320.372	253.797
239	320.591	253.700	320.366	253.761
240	320.779	253.722	320.554	253.785
241	320.773	253.761	320.548	253.814
242	320.784	253.810	320.559	253.867
243	320.820	253.682	320.598	253.740
244	320.913	253.662	320.693	253.717
245	320.861	253.626	320.638	253.687
246	320.970	253.637	320.754	253.683
247	320.948	253.646	320.721	253.705
248	320.994	253.666	320.766	253.720
249	320.915	253.606	320.682	253.674
250	320.892	253.668	320.676	253.719
251	320.916	253.552	320.694	253.619
252	320.890	253.576	320.659	253.637
253	320.920	253.470	320.691	253.526
254	320.771	253.410	320.535	253.470
255	320.705	253.402	320.473	253.452
256	320.768	253.297	320.538	253.357
257	320.858	253.266	320.619	253.321
258	320.763	253.470	320.523	253.521
259	320.737	253.503	320.509	253.557
260	320.634	253.477	320.410	253.523
261	320.630	253.560	320.407	253.618
262	320.694	253.682	320.469	253.735
263	320.699	253.708	320.474	253.769
264	320.708	253.827	320.474	253.882
265	320.828	253.847	320.592	253.907
266	320.849	253.945	320.622	254.000
267	320.819	253.991	320.588	254.042
268	320.922	254.007	320.691	254.054
269	320.861	254.000	320.623	254.054
270	320.811	254.014	320.586	254.064
271	320.753	254.130	320.525	254.184
272	320.922	254.116	320.699	254.168
273	321.004	254.166	320.780	254.216
274	321.016	254.091	320.783	254.142
275	321.074	254.135	320.849	254.179
276	321.144	254.067	320.918	254.117
277	321.136	254.159	320.903	254.210
278	321.134	254.105	320.916	254.156
279	321.187	254.078	320.959	254.135
280	321.243	254.125	321.029	254.187
281	321.203	254.153	320.989	254.218
282	321.175	254.190	320.959	254.253
283	321.161	254.100	320.945	254.165
284	321.294	254.143	321.074	254.205
285	321.296	254.117	321.080	254.181
286	321.205	254.156	320.984	254.224
287	321.274	254.173	321.040	254.232
288	321.202	254.182	320.975	254.251
289	321.314	254.118	321.090	254.177
290	321.280	254.125	321.046	254.189
291	321.154	254.237	320.919	254.283
292	321.097	254.263	320.867	254.326
293	321.095	254.246	320.849	254.303
294	321.003	254.232	320.766	254.293
295	321.042	254.257	320.805	254.313
296	321.050	254.200	320.815	254.257
297	320.935	254.129	320.706	254.185
298	321.042	254.069	320.815	254.128
299	320.965	253.960	320.732	254.009
300	321.031	253.948	320.797	254.008
301	321.094	253.916	320.864	253.969
302	321.028	254.092	320.796	254.142
303	320.958	253.960	320.724	254.016
304	321.011	253.979	320.768	254.035
305	321.012	253.830	320.767	253.881
306	321.014	253.862	320.775	253.915
307	320.989	253.771	320.755	253.824
308	321.044	253.850	320.813	253.901
309	320.994	253.877	320.762	253.933
310	320.922	253.970	320.693	254.018
311	320.961	254.087	320.727	254.136
312	321.075	254.098	320.838	254.156
313	321.132	254.080	320.902	254.132
314	321.077	254.061	320.848	254.116
315	321.110	254.019	320.875	254.072
316	320.980	253.980	320.761	254.037
317	321.050	253.965	320.827	254.014
318	321.070	253.992	320.844	254.043
319	321.057	253.946	320.827	253.997
320	321.117	254.024	320.886	254.079
321	321.101	253.995	320.875	254.044
322	321.089	253.986	320.862	254.034
323	321.194	253.832	320.964	253.883
324	321.331	253.819	321.105	253.871
325	321.353	253.888	321.128	253.943
326	321.373	253.894	321.147	253.957
327	321.446	253.906	321.205	253.963
328	321.389	253.856	321.149	253.915
329	321.394	253.840	321.167	253.894
330	321.399	253.875	321.176	253.932
331	321.344	253.826	321.119	253.880
332	321.235	253.869	321.016	253.929
333	321.353	253.812	321.127	253.867
334	321.195	253.852	320.967	253.908
335	321.262	253.789	321.034	253.853
336	321.108	253.783	320.887	253.842
337	321.085	253.714	320.858	253.776
338	321.049	253.703	320.815	253.765
339	321.080	253.739	320.847	253.794
340	321.102	253.665	320.866	253.735
341	321.057	253.664	320.832	253.724
342	321.055	253.712	320.834	253.776
343	321.024	253.798	320.797	253.858
344	320.913	253.786	320.690	253.841
345	320.919	253.802	320.690	253.858
346	320.977	253.917	320.768	253.980
347	321.210	253.909	320.979	253.968
348	321.111	253.991	320.893	254.049
349	321.230	253.829	320.992	253.890
350	321.260	253.802	321.032	253.868
351	321.196	253.787	320.967	253.844
352	321.216	253.812	320.983	253.874
353	321.131	253.712	320.896	253.777
354	321.050	253.640	320.822	253.708
355	320.965	253.638	320.739	253.709
356	320.876	253.554	320.647	253.618
357	320.868	253.667	320.644	253.734
358	320.885	253.539	320.659	253.609
359	320.870	253.589	320.645	253.652
360	320.898	253.611	320.672	253.677
361	320.906	253.729	320.683	253.791
362	320.815	253.725	320.593	253.800
363	320.820	253.740	320.586	253.801
364	320.834	253.777	320.607	253.845
365	320.919	253.692	320.690	253.756
366	320.936	253.591	320.709	253.656
