 	X	Y	XM	YM
1	322.516	254.820	322.328	254.794
2	322.549	254.677	322.352	254.657
3	322.554	254.638	322.366	254.624
4	322.448	254.583	322.269	254.557
5	322.348	254.600	322.163	254.576
6	322.398	254.688	322.216	254.651
7	322.363	254.750	322.174	254.730
8	322.273	254.732	322.084	254.714
9	322.283	254.677	322.085	254.664
10	322.234	254.814	322.040	254.802
11	322.099	254.764	321.921	254.741
12	322.255	254.749	322.076	254.735
13	322.239	254.853	322.048	254.834
14	322.205	254.854	322.023	254.828
15	322.041	254.940	321.855	254.923
16	322.082	254.988	321.899	254.960
17	322.099	254.990	321.913	254.966
18	321.893	255.014	321.709	254.984
19	321.957	255.153	321.784	255.116
20	321.940	255.008	321.760	254.977
21	321.970	255.132	321.782	255.098
22	321.848	255.151	321.666	255.127
23	321.956	255.059	321.775	255.033
24	321.868	255.080	321.683	255.055
25	321.965	255.102	321.782	255.074
26	321.942	255.095	321.769	255.062
27	321.949	255.085	321.767	255.061
28	322.049	254.910	321.864	254.877
29	322.062	254.942	321.880	254.921
30	322.076	254.761	321.893	254.735
31	322.083	254.854	321.901	254.833
32	321.994	254.839	321.810	254.818
33	321.911	254.766	321.726	254.730
34	321.877	254.724	321.688	254.698
35	321.718	254.816	321.538	254.794
36	321.881	254.638	321.697	254.620
37	321.799	254.648	321.611	254.625
38	321.878	254.749	321.700	254.724
39	321.919	254.671	321.739	254.641
40	321.885	254.642	321.704	254.609
41	321.927	254.799	321.749	254.765
42	321.859	254.931	321.668	254.916
43	321.817	254.988	321.633	254.956
44	321.920	255.092	321.726	255.064
45	321.948	255.219	321.767	255.189
46	322.028	255.080	321.852	255.052
47	322.072	255.005	321.901	254.980
48	322.104	254.918	321.919	254.891
49	322.065	254.964	321.887	254.928
50	322.085	254.988	321.900	254.959
51	322.150	254.882	321.968	254.863
52	322.105	254.939	321.930	254.907
53	322.064	254.960	321.879	254.922
54	322.100	254.992	321.909	254.960
55	321.988	255.043	321.797	255.011
56	322.019	255.032	321.832	254.997
