 	X	Y	XM	YM
1	320.844	254.147	320.555	254.172
2	320.679	254.109	320.385	254.148
3	320.568	254.060	320.275	254.080
4	320.545	254.014	320.245	254.031
5	320.597	253.907	320.303	253.929
6	320.700	253.955	320.411	253.979
7	320.744	253.971	320.450	253.986
8	320.730	253.897	320.445	253.923
9	320.615	253.861	320.326	253.882
10	320.749	253.848	320.450	253.873
11	320.720	253.818	320.427	253.845
12	320.683	253.801	320.393	253.823
13	320.784	253.699	320.495	253.725
14	320.866	253.761	320.578	253.781
15	320.788	253.769	320.499	253.797
16	320.830	253.852	320.538	253.870
17	320.624	253.781	320.329	253.797
18	320.519	253.793	320.224	253.808
19	320.510	253.909	320.218	253.919
20	320.466	253.909	320.176	253.924
21	320.598	253.953	320.308	253.969
22	320.583	253.936	320.285	253.946
23	320.665	253.912	320.375	253.928
24	320.540	253.866	320.255	253.884
25	320.526	253.791	320.238	253.809
26	320.541	253.643	320.246	253.662
27	320.462	253.509	320.176	253.521
28	320.454	253.525	320.167	253.548
29	320.455	253.544	320.173	253.563
30	320.429	253.609	320.136	253.631
31	320.565	253.558	320.279	253.577
32	320.490	253.511	320.204	253.539
33	320.532	253.488	320.245	253.503
34	320.429	253.400	320.147	253.407
35	320.461	253.389	320.178	253.405
36	320.508	253.295	320.225	253.318
37	320.486	253.320	320.207	253.341
38	320.427	253.271	320.155	253.288
39	320.635	253.283	320.353	253.302
40	320.669	253.324	320.393	253.335
41	320.611	253.323	320.327	253.348
42	320.567	253.396	320.295	253.418
43	320.794	253.444	320.503	253.470
44	320.734	253.301	320.444	253.326
45	320.725	253.386	320.440	253.404
46	320.708	253.470	320.421	253.484
47	320.559	253.543	320.270	253.567
48	320.600	253.636	320.309	253.651
49	320.587	253.765	320.303	253.786
50	320.604	253.697	320.324	253.723
51	320.805	253.721	320.525	253.749
52	320.792	253.751	320.503	253.774
53	320.724	253.749	320.446	253.771
54	320.738	253.622	320.451	253.643
55	320.726	253.507	320.444	253.531
56	320.722	253.480	320.439	253.503
57	320.761	253.518	320.485	253.542
58	320.826	253.659	320.546	253.683
59	320.924	253.651	320.640	253.670
60	320.884	253.568	320.605	253.587
61	320.944	253.670	320.665	253.689
62	321.049	253.619	320.775	253.655
63	321.059	253.722	320.773	253.741
64	320.964	253.858	320.687	253.875
65	320.978	253.860	320.699	253.879
66	320.972	253.832	320.687	253.847
67	321.029	253.808	320.752	253.833
68	320.889	253.809	320.620	253.834
69	320.845	253.845	320.578	253.864
70	320.759	253.910	320.493	253.932
71	320.625	253.819	320.352	253.838
72	320.704	253.878	320.430	253.899
73	320.634	253.923	320.360	253.939
74	320.626	253.892	320.350	253.904
75	320.621	253.955	320.352	253.968
76	320.619	254.049	320.344	254.072
77	320.572	253.968	320.299	253.982
78	320.587	253.940	320.311	253.946
79	320.712	253.873	320.443	253.880
80	320.734	253.932	320.461	253.938
81	320.748	253.827	320.477	253.842
82	320.810	253.804	320.525	253.820
83	320.795	253.788	320.516	253.803
84	320.808	253.920	320.530	253.941
85	320.813	253.787	320.536	253.803
86	320.840	253.780	320.570	253.785
87	320.878	253.813	320.605	253.820
88	320.887	253.812	320.610	253.825
89	320.926	253.895	320.647	253.909
90	320.967	253.922	320.690	253.927
91	320.987	253.869	320.711	253.890
92	320.993	253.815	320.718	253.827
93	321.043	253.818	320.774	253.822
94	321.023	253.902	320.747	253.912
95	321.101	253.837	320.826	253.857
96	321.132	253.743	320.852	253.757
97	321.174	253.714	320.897	253.722
98	321.261	253.736	320.982	253.753
99	321.296	253.556	321.015	253.574
100	321.421	253.517	321.136	253.531
101	321.375	253.624	321.100	253.639
102	321.350	253.637	321.069	253.653
103	321.181	253.638	320.908	253.648
104	321.082	253.573	320.814	253.580
105	321.029	253.617	320.750	253.625
106	321.042	253.545	320.761	253.547
107	321.004	253.502	320.734	253.506
