 	X	Y	XM	YM
1	322.986	253.707	322.727	253.723
2	322.991	253.719	322.727	253.735
3	323.121	253.787	322.847	253.801
4	322.973	253.780	322.713	253.797
5	322.945	253.805	322.675	253.818
6	322.836	253.676	322.571	253.693
7	322.811	253.687	322.544	253.707
8	322.805	253.703	322.548	253.728
9	322.675	253.630	322.412	253.652
10	322.685	253.644	322.424	253.671
11	322.666	253.726	322.408	253.743
12	322.675	253.621	322.418	253.637
13	322.597	253.590	322.334	253.612
14	322.677	253.500	322.417	253.528
15	322.624	253.299	322.355	253.328
16	322.576	253.398	322.314	253.417
17	322.395	253.344	322.130	253.371
18	322.273	253.291	322.016	253.320
19	322.298	253.148	322.033	253.171
20	322.185	253.232	321.919	253.260
21	322.218	253.347	321.958	253.376
22	322.156	253.300	321.898	253.319
23	322.136	253.272	321.876	253.292
24	321.978	253.256	321.712	253.268
25	321.800	253.338	321.535	253.362
26	321.719	253.432	321.455	253.464
27	321.718	253.591	321.442	253.618
28	321.754	253.621	321.477	253.643
29	321.775	253.667	321.514	253.694
30	321.835	253.602	321.564	253.624
31	321.822	253.560	321.558	253.574
32	321.842	253.680	321.573	253.707
33	321.795	253.631	321.525	253.656
34	321.818	253.662	321.564	253.683
35	321.654	253.527	321.381	253.557
36	321.737	253.466	321.471	253.491
37	321.690	253.516	321.421	253.550
38	321.699	253.556	321.427	253.580
39	321.666	253.570	321.396	253.601
40	321.642	253.635	321.372	253.650
41	321.638	253.621	321.373	253.648
42	321.580	253.699	321.311	253.720
43	321.503	253.792	321.232	253.814
44	321.413	253.820	321.134	253.844
45	321.385	253.813	321.106	253.832
46	321.479	253.748	321.214	253.772
47	321.520	253.712	321.260	253.741
48	321.458	253.742	321.182	253.770
49	321.445	253.652	321.177	253.671
50	321.393	253.673	321.135	253.695
51	321.368	253.816	321.108	253.845
52	321.397	253.802	321.128	253.826
53	321.351	253.929	321.082	253.951
54	321.269	254.077	321.000	254.108
55	321.338	254.064	321.079	254.088
56	321.341	254.113	321.081	254.146
57	321.240	254.032	320.982	254.053
58	321.200	254.124	320.947	254.143
59	321.168	254.077	320.900	254.104
60	321.271	253.982	321.011	254.013
61	321.329	253.861	321.072	253.889
62	321.345	253.612	321.087	253.642
63	321.242	253.558	320.977	253.590
64	321.270	253.585	321.003	253.615
65	321.424	253.618	321.162	253.647
66	321.386	253.495	321.132	253.523
67	321.310	253.586	321.052	253.613
68	321.329	253.721	321.062	253.743
69	321.382	253.718	321.115	253.750
70	321.246	253.686	320.980	253.713
71	321.311	253.675	321.053	253.698
72	321.256	253.727	321.000	253.759
73	321.226	253.652	320.964	253.679
74	321.295	253.747	321.032	253.766
75	321.430	253.697	321.176	253.723
76	321.320	253.588	321.062	253.602
77	321.237	253.495	320.972	253.520
78	321.314	253.597	321.051	253.619
79	321.224	253.612	320.952	253.638
80	321.193	253.386	320.929	253.407
81	321.223	253.390	320.945	253.410
82	321.147	253.323	320.869	253.349
83	321.313	253.343	321.051	253.362
84	321.364	253.212	321.097	253.235
85	321.283	253.171	321.011	253.187
86	321.364	253.192	321.090	253.219
87	321.344	253.133	321.070	253.147
88	321.364	253.227	321.089	253.243
89	321.281	253.275	321.015	253.292
90	321.307	253.332	321.039	253.346
91	321.268	253.141	321.000	253.160
92	321.199	253.225	320.931	253.247
93	321.199	253.105	320.927	253.128
94	321.179	253.037	320.912	253.057
95	321.283	253.177	321.014	253.196
96	321.334	253.125	321.073	253.154
97	321.241	253.098	320.973	253.126
98	321.166	253.213	320.900	253.243
99	321.099	253.161	320.838	253.187
100	321.047	253.088	320.782	253.112
101	320.976	253.139	320.711	253.163
102	320.984	253.160	320.720	253.180
103	321.007	252.924	320.745	252.940
104	321.001	253.134	320.738	253.149
105	321.090	253.095	320.825	253.118
106	320.958	253.013	320.692	253.032
107	321.185	252.944	320.914	252.959
108	321.232	253.027	320.964	253.052
109	321.256	253.093	320.988	253.122
110	321.169	253.077	320.894	253.106
111	321.244	253.054	320.977	253.077
112	321.155	253.135	320.887	253.155
113	321.039	253.161	320.755	253.183
114	321.103	253.124	320.831	253.146
115	321.029	253.071	320.758	253.087
116	321.053	253.221	320.771	253.246
117	320.902	253.257	320.632	253.284
118	320.930	253.212	320.651	253.234
119	320.878	253.314	320.604	253.332
120	320.763	253.327	320.497	253.345
121	320.794	253.356	320.521	253.382
122	320.795	253.358	320.520	253.378
123	320.785	253.398	320.506	253.417
124	320.765	253.434	320.488	253.457
125	320.800	253.514	320.526	253.530
126	320.856	253.617	320.587	253.646
127	320.858	253.675	320.588	253.688
128	320.931	253.615	320.661	253.631
129	320.967	253.637	320.701	253.652
130	320.986	253.596	320.706	253.610
131	321.069	253.565	320.796	253.583
132	321.041	253.556	320.766	253.574
133	321.094	253.519	320.822	253.540
134	321.176	253.313	320.894	253.333
135	321.139	253.252	320.850	253.272
136	321.064	253.155	320.779	253.177
137	321.218	253.277	320.940	253.304
138	321.179	253.387	320.897	253.409
139	321.236	253.413	320.964	253.433
140	321.215	253.423	320.930	253.444
141	321.199	253.340	320.913	253.366
142	321.317	253.283	321.035	253.305
143	321.365	253.275	321.082	253.306
144	321.218	253.198	320.937	253.231
145	321.207	253.156	320.931	253.189
146	321.206	253.050	320.928	253.076
147	321.240	253.044	320.959	253.072
148	321.172	252.929	320.899	252.960
149	321.327	252.937	321.055	252.954
150	321.280	253.007	321.004	253.043
151	321.231	252.979	320.958	253.022
152	321.241	253.126	320.972	253.163
153	321.243	253.085	320.967	253.117
154	321.357	253.025	321.091	253.053
155	321.374	253.159	321.104	253.187
156	321.362	253.239	321.094	253.270
157	321.312	253.305	321.040	253.335
158	321.221	253.230	320.950	253.269
159	321.214	253.424	320.953	253.470
160	321.186	253.414	320.919	253.450
161	321.226	253.270	320.958	253.310
162	321.291	253.211	321.025	253.250
163	321.282	253.202	321.018	253.226
164	321.262	253.272	320.995	253.304
165	321.355	253.095	321.090	253.137
166	321.279	253.248	321.012	253.272
167	321.230	253.247	320.965	253.271
168	321.159	253.201	320.893	253.231
169	321.135	253.133	320.864	253.163
170	321.157	253.176	320.887	253.198
171	321.227	253.272	320.964	253.302
172	321.190	253.027	320.912	253.058
173	321.209	252.959	320.944	252.991
174	321.377	252.915	321.106	252.941
175	321.320	252.893	321.051	252.924
176	321.318	252.947	321.051	252.975
177	321.343	253.004	321.080	253.030
178	321.379	253.103	321.109	253.122
179	321.513	253.357	321.246	253.377
180	321.480	253.440	321.209	253.459
181	321.402	253.501	321.132	253.522
182	321.393	253.504	321.118	253.513
183	321.484	253.486	321.218	253.508
184	321.402	253.565	321.135	253.586
185	321.407	253.478	321.139	253.505
186	321.454	253.404	321.186	253.423
187	321.499	253.420	321.232	253.437
188	321.629	253.456	321.375	253.480
189	321.666	253.396	321.407	253.421
190	321.731	253.421	321.469	253.444
191	321.790	253.350	321.536	253.368
192	321.591	253.362	321.331	253.392
193	321.630	253.329	321.360	253.349
194	321.592	253.323	321.331	253.346
195	321.505	253.321	321.247	253.342
196	321.387	253.340	321.129	253.359
197	321.266	253.450	321.009	253.468
198	321.286	253.604	321.018	253.619
199	321.228	253.675	320.968	253.699
200	321.231	253.682	320.971	253.696
201	321.225	253.810	320.959	253.832
202	321.241	253.866	320.975	253.887
203	321.266	253.923	320.998	253.943
204	321.278	253.848	321.003	253.869
205	321.415	253.740	321.151	253.767
206	321.306	253.770	321.040	253.801
207	321.334	253.850	321.065	253.876
208	321.297	253.960	321.025	253.984
209	321.338	253.877	321.070	253.902
210	321.337	253.817	321.068	253.833
211	321.304	253.743	321.036	253.763
212	321.260	253.806	320.991	253.822
213	321.284	253.651	321.015	253.670
214	321.232	253.570	320.964	253.595
215	321.265	253.582	320.994	253.605
216	321.269	253.587	320.994	253.600
217	321.340	253.575	321.061	253.596
218	321.500	253.590	321.231	253.621
219	321.503	253.525	321.232	253.537
220	321.517	253.397	321.247	253.417
221	321.586	253.420	321.311	253.443
222	321.558	253.443	321.275	253.471
223	321.528	253.371	321.260	253.378
224	321.758	253.335	321.485	253.361
225	321.702	253.365	321.434	253.379
226	321.680	253.520	321.412	253.536
227	321.475	253.532	321.208	253.552
228	321.423	253.592	321.153	253.608
229	321.502	253.553	321.241	253.569
230	321.386	253.464	321.107	253.474
231	321.385	253.345	321.110	253.363
232	321.161	253.290	320.888	253.299
233	321.244	253.160	320.967	253.177
234	321.223	253.196	320.954	253.213
235	321.224	253.143	320.944	253.163
236	321.360	253.108	321.074	253.138
237	321.323	253.166	321.047	253.180
238	321.245	253.235	320.973	253.257
239	321.413	253.232	321.138	253.252
240	321.324	253.312	321.051	253.332
241	321.377	253.304	321.099	253.326
242	321.409	253.250	321.137	253.271
243	321.440	253.160	321.163	253.194
244	321.415	253.131	321.145	253.156
245	321.466	253.014	321.195	253.041
246	321.456	253.034	321.186	253.062
247	321.393	253.062	321.121	253.094
248	321.549	253.062	321.281	253.081
249	321.493	253.151	321.215	253.181
250	321.554	253.289	321.279	253.314
251	321.646	253.269	321.372	253.303
252	321.521	253.353	321.251	253.383
253	321.435	253.384	321.171	253.409
254	321.433	253.403	321.165	253.434
255	321.349	253.448	321.078	253.471
256	321.318	253.501	321.043	253.529
257	321.322	253.463	321.062	253.489
258	321.347	253.476	321.077	253.504
259	321.267	253.304	320.981	253.331
260	321.156	253.289	320.894	253.324
261	321.142	253.409	320.875	253.438
262	321.124	253.375	320.854	253.398
263	321.219	253.234	320.955	253.266
264	321.144	253.195	320.874	253.215
265	321.240	253.143	320.971	253.160
266	321.198	253.140	320.923	253.164
267	321.148	253.065	320.874	253.086
268	321.132	253.162	320.863	253.185
269	321.111	253.249	320.834	253.269
270	321.078	253.231	320.806	253.255
271	321.118	253.254	320.849	253.271
272	321.056	253.236	320.784	253.253
273	320.944	253.326	320.674	253.350
274	321.050	253.357	320.779	253.378
275	321.130	253.393	320.857	253.406
276	321.099	253.384	320.831	253.405
277	321.057	253.356	320.793	253.375
278	321.082	253.362	320.808	253.386
279	321.097	253.212	320.830	253.241
280	321.120	253.181	320.844	253.208
281	321.076	253.319	320.800	253.344
282	320.990	253.323	320.713	253.351
283	320.980	253.393	320.698	253.415
284	321.020	253.343	320.748	253.363
285	321.017	253.287	320.742	253.319
286	321.014	253.246	320.741	253.273
287	321.034	253.147	320.765	253.184
288	321.134	253.215	320.863	253.251
289	321.133	253.160	320.864	253.191
290	321.066	253.066	320.792	253.098
291	321.181	253.117	320.918	253.150
292	321.114	253.073	320.840	253.112
293	321.060	252.905	320.789	252.939
294	321.000	252.751	320.729	252.788
295	321.000	252.719	320.726	252.746
296	321.150	252.658	320.883	252.690
297	321.280	252.637	321.010	252.675
298	321.405	252.806	321.136	252.843
299	321.384	252.685	321.117	252.723
300	321.293	252.759	321.024	252.793
301	321.333	252.751	321.061	252.793
302	321.395	252.701	321.129	252.736
303	321.467	252.708	321.202	252.745
304	321.404	252.777	321.134	252.815
305	321.263	252.839	320.998	252.870
306	321.331	252.779	321.064	252.821
307	321.200	252.794	320.932	252.831
308	321.195	252.744	320.927	252.782
309	321.094	252.742	320.822	252.784
310	321.121	252.744	320.854	252.786
311	321.123	252.841	320.850	252.876
312	321.184	252.790	320.911	252.835
313	321.185	252.880	320.911	252.924
314	321.201	253.003	320.921	253.050
315	321.154	252.998	320.882	253.040
316	321.156	253.040	320.885	253.087
317	321.234	253.048	320.971	253.096
318	321.141	253.054	320.874	253.085
319	321.043	253.038	320.777	253.080
320	321.115	253.028	320.845	253.067
321	321.198	253.018	320.931	253.060
322	321.193	252.919	320.925	252.955
323	321.135	252.876	320.864	252.921
324	321.032	252.928	320.763	252.968
325	321.166	252.957	320.891	252.995
326	321.241	252.909	320.961	252.946
327	321.248	253.016	320.981	253.060
328	321.429	253.014	321.154	253.048
329	321.479	252.994	321.210	253.042
330	321.370	253.110	321.106	253.143
331	321.544	253.230	321.266	253.273
332	321.605	253.191	321.331	253.232
333	321.542	253.148	321.271	253.196
334	321.685	253.148	321.408	253.187
335	321.632	253.003	321.356	253.055
336	321.646	253.055	321.369	253.109
337	321.783	252.896	321.507	252.951
338	321.779	252.796	321.506	252.844
339	321.767	252.865	321.498	252.908
340	321.624	252.945	321.349	252.989
341	321.570	253.103	321.288	253.142
342	321.549	252.991	321.272	253.027
343	321.557	253.172	321.292	253.208
344	321.526	253.184	321.255	253.218
345	321.557	253.199	321.286	253.236
346	321.539	253.135	321.261	253.176
347	321.526	253.239	321.253	253.276
348	321.639	253.143	321.369	253.169
349	321.698	253.173	321.414	253.207
350	321.737	253.191	321.465	253.224
351	321.795	253.312	321.518	253.354
352	321.766	253.468	321.493	253.505
353	321.759	253.518	321.489	253.556
354	321.540	253.456	321.275	253.496
355	321.658	253.349	321.386	253.378
356	321.663	253.330	321.391	253.370
357	321.562	253.420	321.283	253.455
358	321.540	253.565	321.261	253.595
359	321.574	253.679	321.306	253.712
360	321.570	253.649	321.296	253.687
361	321.463	253.830	321.184	253.860
362	321.510	253.931	321.229	253.964
363	321.500	253.753	321.220	253.783
364	321.539	253.837	321.261	253.872
365	321.637	253.805	321.355	253.835
366	321.569	253.774	321.298	253.807
367	321.544	253.683	321.277	253.726
368	321.550	253.682	321.284	253.719
369	321.513	253.653	321.236	253.686
370	321.378	253.744	321.102	253.779
371	321.312	253.787	321.040	253.822
372	321.278	253.655	321.008	253.685
373	321.135	253.562	320.869	253.601
374	321.244	253.534	320.977	253.565
375	321.146	253.514	320.879	253.545
376	321.135	253.602	320.869	253.641
377	321.172	253.602	320.896	253.632
378	321.011	253.563	320.741	253.590
379	321.061	253.517	320.785	253.551
380	321.134	253.544	320.861	253.573
381	321.166	253.589	320.893	253.628
382	321.177	253.783	320.909	253.816
383	321.246	253.646	320.974	253.675
384	321.301	253.768	321.020	253.791
385	321.254	253.792	320.981	253.817
386	321.429	253.802	321.150	253.822
387	321.415	253.764	321.147	253.792
388	321.439	253.641	321.180	253.672
389	321.366	253.749	321.107	253.775
390	321.332	253.715	321.065	253.744
391	321.242	253.751	320.975	253.783
392	321.219	253.953	320.945	253.989
393	321.164	254.013	320.893	254.037
394	321.192	254.045	320.927	254.073
395	321.146	254.012	320.881	254.034
396	321.083	254.044	320.817	254.080
397	321.033	253.968	320.767	253.998
398	320.977	254.079	320.713	254.108
399	320.939	254.143	320.662	254.170
400	321.025	254.307	320.752	254.335
401	321.044	254.347	320.770	254.384
402	321.027	254.355	320.758	254.384
403	321.031	254.396	320.755	254.435
404	320.946	254.379	320.668	254.419
405	321.172	254.333	320.901	254.358
406	321.156	254.421	320.883	254.444
407	321.299	254.317	321.024	254.350
408	321.332	254.204	321.055	254.236
409	321.268	254.079	320.995	254.112
410	321.275	254.085	321.005	254.117
411	321.334	254.129	321.062	254.165
412	321.367	254.071	321.094	254.103
413	321.394	254.121	321.117	254.163
414	321.457	254.109	321.182	254.139
415	321.488	253.922	321.216	253.949
416	321.492	253.962	321.223	253.996
417	321.461	254.132	321.199	254.163
418	321.473	254.304	321.202	254.327
419	321.540	254.211	321.267	254.235
420	321.577	254.401	321.302	254.434
421	321.688	254.404	321.419	254.432
422	321.539	254.457	321.271	254.498
423	321.652	254.348	321.380	254.372
424	321.723	254.410	321.456	254.440
425	321.794	254.473	321.521	254.507
426	321.702	254.479	321.420	254.509
427	321.725	254.597	321.455	254.635
428	321.799	254.641	321.531	254.667
429	321.885	254.632	321.608	254.658
430	321.885	254.725	321.618	254.756
431	321.770	254.693	321.493	254.721
432	321.758	254.504	321.473	254.526
433	321.744	254.532	321.475	254.560
434	321.698	254.359	321.417	254.383
435	321.690	254.270	321.413	254.297
436	321.626	254.335	321.349	254.359
437	321.731	254.192	321.452	254.217
438	321.828	254.152	321.543	254.177
439	321.870	254.196	321.591	254.221
440	321.903	254.242	321.627	254.267
441	321.808	254.229	321.530	254.245
442	321.686	254.327	321.410	254.345
443	321.536	254.377	321.260	254.395
444	321.538	254.509	321.257	254.519
445	321.576	254.466	321.302	254.487
446	321.454	254.481	321.171	254.500
447	321.298	254.530	321.020	254.549
448	321.456	254.670	321.181	254.695
449	321.665	254.577	321.386	254.599
450	321.668	254.628	321.388	254.642
451	321.687	254.623	321.405	254.648
452	321.639	254.664	321.361	254.678
453	321.579	254.559	321.302	254.577
454	321.549	254.544	321.264	254.564
455	321.591	254.601	321.312	254.610
456	321.749	254.527	321.473	254.535
