 	X	Y	XM	YM
1	321.531	253.656	321.345	253.634
2	321.596	253.674	321.419	253.645
3	321.549	253.738	321.369	253.724
4	321.476	253.804	321.291	253.781
5	321.421	253.788	321.237	253.765
6	321.542	253.765	321.361	253.740
7	321.500	253.656	321.320	253.636
8	321.617	253.651	321.436	253.638
9	321.652	253.709	321.470	253.681
10	321.732	253.818	321.560	253.792
11	321.753	253.754	321.573	253.726
12	321.616	253.658	321.441	253.632
13	321.635	253.638	321.452	253.611
14	321.726	253.755	321.547	253.728
15	321.748	253.719	321.567	253.694
16	321.785	253.634	321.600	253.608
17	321.888	253.606	321.699	253.573
18	321.973	253.505	321.795	253.475
19	322.115	253.328	321.930	253.294
20	321.957	253.262	321.779	253.229
21	321.938	253.109	321.755	253.073
22	321.898	253.130	321.715	253.091
23	321.916	253.123	321.733	253.087
24	321.874	253.076	321.691	253.035
25	322.133	253.093	321.945	253.047
26	321.991	253.206	321.802	253.159
27	321.865	253.222	321.680	253.177
28	321.833	253.238	321.646	253.203
29	321.879	253.160	321.689	253.116
30	321.925	253.229	321.739	253.182
31	321.953	253.096	321.763	253.051
32	321.780	253.268	321.595	253.226
33	321.653	253.395	321.472	253.350
34	321.519	253.438	321.334	253.398
35	321.490	253.525	321.303	253.486
36	321.394	253.463	321.206	253.418
37	321.458	253.526	321.274	253.487
38	321.521	253.494	321.335	253.442
39	321.460	253.464	321.278	253.425
40	321.528	253.416	321.337	253.380
41	321.676	253.444	321.486	253.395
42	321.689	253.476	321.517	253.430
43	321.647	253.363	321.471	253.314
44	321.643	253.372	321.469	253.326
45	321.592	253.328	321.422	253.287
46	321.568	253.308	321.397	253.261
47	321.473	253.451	321.301	253.394
48	321.398	253.313	321.226	253.271
49	321.392	253.286	321.228	253.234
50	321.400	253.387	321.223	253.334
51	321.485	253.361	321.300	253.318
52	321.333	253.635	321.160	253.596
53	321.380	253.846	321.205	253.803
54	321.301	253.879	321.125	253.840
55	321.469	253.990	321.293	253.951
56	321.569	254.132	321.394	254.094
57	321.669	254.135	321.496	254.095
58	321.750	253.942	321.579	253.904
59	321.790	254.069	321.621	254.023
60	321.739	254.196	321.568	254.152
61	321.802	254.182	321.635	254.146
62	321.849	254.171	321.684	254.126
63	321.940	254.263	321.774	254.212
64	321.834	254.035	321.660	253.992
