 	X	Y	XM	YM
1	320.617	254.599	320.443	254.610
2	320.437	254.550	320.249	254.564
3	320.302	254.674	320.130	254.683
4	320.228	254.566	320.054	254.576
5	320.314	254.797	320.133	254.804
6	320.262	254.798	320.085	254.811
7	320.200	254.900	320.024	254.912
8	320.135	254.952	319.961	254.963
9	320.126	254.885	319.952	254.889
10	320.144	254.753	319.970	254.771
11	320.200	254.762	320.017	254.773
12	320.160	254.736	319.977	254.747
13	320.125	254.925	319.952	254.928
14	319.976	255.003	319.795	255.008
15	319.972	254.952	319.793	254.955
16	319.937	255.206	319.770	255.218
17	320.013	255.372	319.832	255.378
18	319.892	255.523	319.716	255.532
19	319.847	255.375	319.665	255.377
20	319.873	255.323	319.695	255.326
21	320.017	255.238	319.837	255.241
22	320.008	255.183	319.822	255.189
23	319.957	255.131	319.780	255.136
24	319.887	255.107	319.703	255.105
25	319.847	255.009	319.671	255.009
26	319.947	255.076	319.776	255.074
27	319.864	254.906	319.691	254.906
28	319.857	254.859	319.693	254.853
29	319.843	254.825	319.676	254.815
30	319.949	254.967	319.774	254.969
31	319.957	255.073	319.786	255.081
32	319.902	255.072	319.735	255.077
33	319.930	255.226	319.758	255.230
34	319.905	255.271	319.746	255.273
35	319.871	255.364	319.700	255.371
36	320.023	255.404	319.850	255.404
37	320.061	255.440	319.896	255.447
38	320.125	255.401	319.961	255.406
39	320.078	255.481	319.910	255.490
40	320.218	255.573	320.045	255.583
41	320.362	255.318	320.198	255.324
42	320.340	255.242	320.171	255.256
43	320.333	255.219	320.166	255.235
44	320.287	255.179	320.124	255.178
45	320.299	254.998	320.139	254.997
46	320.220	255.013	320.060	255.025
47	320.346	254.782	320.181	254.796
48	320.517	254.754	320.348	254.764
49	320.461	254.712	320.294	254.719
50	320.433	254.724	320.261	254.739
51	320.426	254.878	320.254	254.879
52	320.525	254.893	320.356	254.899
53	320.511	254.817	320.338	254.823
54	320.590	254.685	320.419	254.701
55	320.682	254.654	320.509	254.664
56	320.717	254.779	320.546	254.784
57	320.704	254.783	320.538	254.793
58	320.692	254.878	320.531	254.870
59	320.729	254.860	320.559	254.877
60	320.927	254.934	320.759	254.935
61	320.947	254.929	320.771	254.931
62	320.857	254.906	320.682	254.909
63	321.017	254.929	320.841	254.926
64	320.798	255.022	320.618	255.026
65	320.828	255.120	320.658	255.133
66	320.949	254.952	320.770	254.944
67	320.884	254.872	320.712	254.879
68	320.934	254.863	320.765	254.870
69	320.920	254.873	320.744	254.882
70	320.784	254.848	320.612	254.852
71	320.668	254.871	320.485	254.879
72	320.696	254.747	320.519	254.756
73	320.521	254.600	320.345	254.606
74	320.806	254.585	320.629	254.590
75	320.816	254.498	320.637	254.500
76	320.858	254.401	320.682	254.405
77	320.820	254.466	320.640	254.471
78	320.786	254.467	320.609	254.467
79	320.652	254.487	320.474	254.496
80	320.733	254.429	320.551	254.431
81	320.754	254.572	320.568	254.581
82	320.816	254.430	320.649	254.436
83	320.840	254.503	320.667	254.507
84	320.839	254.569	320.652	254.574
85	320.902	254.698	320.720	254.704
86	320.878	254.502	320.694	254.502
87	320.959	254.594	320.787	254.594
88	320.840	254.562	320.662	254.569
89	320.865	254.488	320.682	254.500
90	320.827	254.355	320.649	254.365
91	320.814	254.342	320.639	254.354
92	320.760	254.411	320.583	254.414
93	320.771	254.317	320.595	254.320
94	320.760	254.309	320.589	254.318
95	320.776	254.134	320.608	254.141
96	320.704	254.018	320.535	254.030
97	320.615	254.123	320.441	254.125
98	320.595	254.133	320.422	254.135
99	320.555	254.099	320.385	254.093
100	320.712	254.048	320.543	254.054
101	320.686	254.144	320.515	254.148
102	320.610	254.242	320.437	254.244
103	320.580	254.285	320.412	254.286
104	320.619	254.357	320.443	254.366
105	320.570	254.386	320.389	254.387
106	320.567	254.263	320.392	254.260
107	320.352	254.208	320.167	254.212
108	320.495	254.247	320.315	254.243
109	320.673	254.235	320.494	254.227
110	320.596	254.310	320.422	254.311
111	320.597	254.352	320.413	254.350
112	320.622	254.382	320.448	254.379
113	320.487	254.487	320.313	254.484
114	320.612	254.504	320.433	254.513
115	320.564	254.440	320.388	254.435
116	320.586	254.443	320.406	254.443
117	320.591	254.450	320.417	254.449
118	320.840	254.443	320.657	254.440
119	320.844	254.314	320.671	254.307
120	320.822	254.278	320.645	254.269
121	320.874	254.118	320.691	254.113
122	321.015	254.074	320.837	254.067
123	321.102	254.086	320.929	254.076
124	321.185	254.048	321.010	254.050
125	321.184	254.127	321.008	254.127
126	321.192	254.193	321.018	254.186
127	321.226	254.199	321.059	254.201
128	321.058	254.172	320.888	254.167
129	321.129	254.224	320.962	254.238
130	321.100	254.285	320.919	254.286
131	321.174	254.391	320.999	254.398
132	321.151	254.354	320.972	254.357
133	321.155	254.395	320.992	254.385
134	321.305	254.528	321.129	254.518
135	321.366	254.634	321.207	254.636
136	321.269	254.623	321.100	254.618
137	321.320	254.483	321.148	254.475
138	321.177	254.420	321.004	254.414
139	321.359	254.481	321.177	254.475
140	321.394	254.509	321.222	254.509
141	321.383	254.527	321.220	254.526
142	321.350	254.397	321.172	254.395
143	321.387	254.305	321.209	254.311
144	321.378	254.342	321.199	254.344
145	321.368	254.317	321.201	254.319
146	321.411	254.189	321.235	254.187
147	321.345	254.076	321.180	254.075
148	321.275	254.093	321.103	254.089
149	321.139	254.117	320.969	254.116
150	321.037	254.197	320.869	254.195
151	321.076	254.190	320.906	254.186
152	321.046	254.206	320.880	254.196
153	321.081	254.286	320.920	254.279
154	321.144	254.230	320.983	254.216
155	321.101	254.273	320.928	254.266
156	321.141	254.324	320.963	254.323
157	321.123	254.454	320.955	254.451
158	321.146	254.462	320.973	254.463
159	321.063	254.529	320.888	254.530
160	321.079	254.585	320.903	254.590
161	321.156	254.834	320.979	254.839
162	320.965	254.994	320.783	254.998
163	320.949	254.997	320.763	255.002
164	320.961	255.008	320.776	255.018
165	320.880	254.997	320.697	254.990
166	320.804	254.982	320.625	254.977
167	320.818	255.081	320.639	255.083
168	320.735	254.947	320.548	254.959
169	320.718	254.879	320.533	254.885
170	320.724	254.783	320.540	254.775
171	320.679	254.856	320.509	254.856
172	320.585	254.706	320.414	254.708
173	320.505	254.487	320.328	254.491
174	320.513	254.481	320.338	254.485
175	320.605	254.350	320.431	254.354
176	320.423	254.461	320.245	254.459
177	320.416	254.479	320.244	254.481
178	320.392	254.461	320.228	254.451
179	320.245	254.422	320.071	254.424
180	320.421	254.586	320.247	254.580
181	320.416	254.596	320.246	254.597
182	320.441	254.732	320.269	254.731
183	320.554	254.651	320.373	254.648
184	320.408	254.815	320.237	254.813
185	320.336	254.877	320.168	254.877
186	320.376	254.935	320.201	254.943
187	320.326	254.828	320.161	254.823
188	320.206	254.681	320.039	254.684
189	320.237	254.650	320.065	254.649
190	320.428	254.666	320.256	254.669
191	320.448	254.561	320.274	254.562
192	320.507	254.481	320.326	254.490
193	320.584	254.464	320.409	254.463
194	320.742	254.578	320.563	254.578
195	320.818	254.503	320.638	254.499
196	320.775	254.367	320.594	254.362
197	320.703	254.383	320.525	254.383
198	320.710	254.185	320.524	254.186
199	320.806	254.028	320.624	254.025
200	320.768	254.008	320.591	254.002
201	320.799	253.973	320.624	253.974
202	320.724	253.907	320.557	253.905
203	320.664	253.893	320.496	253.893
204	320.537	254.007	320.366	254.011
205	320.596	253.986	320.435	254.001
206	320.684	253.945	320.522	253.958
207	320.683	254.052	320.521	254.057
208	320.592	254.053	320.420	254.057
209	320.613	254.029	320.443	254.036
210	320.461	254.165	320.294	254.181
211	320.491	254.152	320.331	254.165
212	320.491	254.186	320.329	254.203
213	320.669	254.310	320.500	254.318
214	320.677	254.261	320.510	254.278
215	320.616	254.364	320.458	254.377
216	320.766	254.298	320.593	254.305
217	320.827	254.141	320.666	254.147
218	320.974	254.129	320.810	254.139
219	321.017	254.159	320.855	254.180
220	321.034	254.017	320.875	254.036
221	320.933	254.052	320.774	254.072
222	320.878	253.910	320.717	253.923
223	320.730	253.711	320.568	253.723
224	320.569	253.692	320.404	253.705
225	320.700	253.573	320.540	253.585
226	320.692	253.693	320.533	253.707
227	320.829	253.671	320.678	253.679
228	320.871	253.841	320.709	253.847
229	320.825	253.875	320.668	253.890
230	320.887	253.943	320.722	253.951
231	320.921	253.887	320.755	253.894
232	320.994	253.973	320.829	253.981
233	321.054	254.127	320.887	254.133
234	321.031	254.190	320.864	254.198
235	321.157	254.226	321.000	254.229
236	321.260	254.129	321.096	254.128
237	321.162	254.126	320.997	254.133
238	321.241	254.053	321.089	254.060
239	321.215	254.190	321.065	254.203
240	321.313	254.266	321.156	254.282
241	321.248	254.131	321.089	254.130
242	321.307	254.009	321.152	254.007
243	321.277	254.009	321.121	254.023
244	321.345	254.045	321.191	254.046
245	321.294	253.906	321.130	253.907
246	321.186	253.847	321.024	253.861
247	321.257	253.955	321.088	253.963
248	321.306	253.861	321.138	253.864
249	321.404	253.948	321.236	253.957
250	321.431	253.988	321.258	253.984
251	321.311	253.842	321.134	253.850
252	321.376	253.814	321.211	253.816
253	321.460	253.661	321.298	253.662
254	321.223	253.621	321.060	253.630
255	321.167	253.647	321.013	253.650
256	321.278	253.703	321.125	253.721
257	321.217	253.682	321.057	253.693
258	321.207	253.849	321.044	253.867
259	321.038	253.742	320.875	253.752
260	321.122	253.826	320.954	253.843
261	320.997	253.661	320.833	253.672
262	321.119	253.770	320.957	253.784
263	321.161	253.797	320.995	253.812
264	321.120	253.867	320.958	253.876
265	321.014	253.893	320.855	253.905
266	321.035	254.034	320.880	254.057
267	320.800	253.883	320.649	253.886
268	320.840	253.874	320.689	253.873
269	320.896	253.779	320.738	253.780
270	320.886	253.811	320.733	253.824
271	320.840	253.693	320.676	253.695
272	320.901	253.537	320.737	253.540
273	320.917	253.558	320.748	253.565
274	320.895	253.578	320.734	253.582
275	320.657	253.633	320.495	253.642
276	320.650	253.545	320.486	253.549
277	320.725	253.681	320.562	253.686
278	320.769	253.685	320.597	253.689
279	320.786	253.709	320.627	253.708
280	320.810	253.852	320.645	253.850
281	320.886	253.999	320.725	253.993
282	320.842	254.005	320.678	254.010
283	320.883	253.891	320.710	253.896
284	320.951	253.789	320.790	253.786
285	320.729	253.741	320.557	253.745
286	320.705	253.718	320.546	253.710
287	320.664	253.792	320.494	253.795
