 	X	Y	XM	YM
1	321.112	254.483	320.871	254.366
2	321.030	254.719	320.794	254.602
3	321.099	254.660	320.867	254.544
4	321.185	254.571	320.943	254.457
5	321.241	254.621	321.006	254.505
6	321.289	254.558	321.044	254.442
7	321.340	254.600	321.110	254.488
8	321.373	254.578	321.131	254.465
9	321.423	254.659	321.194	254.544
10	321.429	254.717	321.195	254.602
11	321.471	254.736	321.237	254.620
12	321.602	254.663	321.369	254.547
13	321.635	254.666	321.390	254.544
14	321.606	254.639	321.364	254.524
15	321.605	254.627	321.365	254.509
16	321.642	254.534	321.407	254.419
17	321.632	254.623	321.394	254.512
18	321.718	254.674	321.484	254.561
19	321.698	254.647	321.461	254.536
20	321.589	254.537	321.355	254.423
21	321.514	254.437	321.281	254.326
22	321.670	254.319	321.431	254.205
23	321.674	254.361	321.448	254.250
24	321.718	254.423	321.483	254.308
25	321.818	254.403	321.578	254.296
26	321.807	254.467	321.569	254.355
27	321.832	254.489	321.597	254.378
28	321.702	254.434	321.468	254.317
29	321.695	254.355	321.458	254.242
30	321.688	254.203	321.455	254.087
31	321.827	254.208	321.591	254.096
32	321.724	254.034	321.479	253.924
33	321.632	253.978	321.387	253.861
34	321.573	254.046	321.333	253.933
35	321.583	254.111	321.342	254.006
36	321.618	254.015	321.383	253.893
37	321.651	254.026	321.404	253.910
38	321.597	254.077	321.346	253.957
39	321.587	254.195	321.337	254.068
40	321.544	254.212	321.305	254.087
41	321.474	254.278	321.226	254.151
42	321.461	254.283	321.209	254.163
43	321.492	254.272	321.243	254.149
44	321.511	254.362	321.276	254.252
45	321.465	254.248	321.219	254.137
46	321.398	254.289	321.161	254.174
47	321.317	254.228	321.080	254.107
48	321.312	254.100	321.073	253.980
49	321.253	254.025	321.003	253.904
50	321.346	253.963	321.107	253.847
51	321.239	254.015	320.997	253.901
52	321.066	254.032	320.827	253.916
53	321.157	254.020	320.921	253.905
54	321.112	253.976	320.875	253.861
55	321.086	253.873	320.851	253.759
56	321.125	253.797	320.896	253.687
57	321.091	253.884	320.855	253.773
58	321.044	253.931	320.807	253.818
59	321.015	253.950	320.770	253.836
60	320.931	253.955	320.691	253.846
61	320.945	254.044	320.711	253.931
62	320.993	254.014	320.759	253.904
63	321.164	253.911	320.920	253.800
64	321.214	253.900	320.980	253.789
65	321.020	253.861	320.787	253.749
66	321.059	253.997	320.817	253.884
67	320.982	253.985	320.731	253.883
68	321.040	254.063	320.805	253.948
69	321.084	253.997	320.850	253.886
70	321.138	254.037	320.899	253.925
71	321.001	254.084	320.763	253.973
72	321.093	254.155	320.858	254.037
73	321.263	254.218	321.030	254.106
74	321.396	254.246	321.158	254.120
75	321.404	254.176	321.167	254.059
76	321.407	254.207	321.176	254.089
77	321.320	254.113	321.075	254.000
78	321.360	254.108	321.124	253.996
79	321.311	254.122	321.076	253.998
80	321.231	254.055	320.999	253.950
81	321.337	254.071	321.104	253.957
82	321.342	254.230	321.104	254.109
83	321.275	254.222	321.042	254.111
84	321.451	254.303	321.221	254.184
85	321.436	254.397	321.205	254.288
86	321.440	254.464	321.212	254.353
87	321.460	254.527	321.237	254.428
88	321.413	254.501	321.180	254.398
89	321.378	254.357	321.151	254.253
90	321.412	254.495	321.183	254.387
91	321.337	254.552	321.110	254.450
92	321.385	254.564	321.162	254.446
93	321.284	254.505	321.063	254.401
94	321.296	254.466	321.071	254.356
95	321.303	254.431	321.074	254.325
96	321.245	254.290	321.019	254.186
97	321.215	254.278	320.980	254.173
98	321.200	254.400	320.968	254.300
99	321.246	254.505	321.021	254.401
100	321.112	254.369	320.889	254.264
101	321.157	254.423	320.927	254.318
102	321.205	254.465	320.987	254.366
103	321.101	254.419	320.871	254.320
104	321.139	254.444	320.916	254.341
105	321.197	254.384	320.967	254.289
106	321.279	254.332	321.058	254.232
107	321.197	254.259	320.980	254.168
108	321.294	254.283	321.077	254.191
109	321.313	254.271	321.095	254.180
110	321.415	254.215	321.196	254.123
111	321.338	254.063	321.118	253.972
112	321.451	254.275	321.235	254.183
113	321.370	254.330	321.164	254.234
114	321.362	254.453	321.148	254.359
115	321.451	254.447	321.230	254.352
116	321.531	254.456	321.310	254.363
117	321.555	254.429	321.343	254.323
118	321.477	254.469	321.253	254.370
119	321.543	254.473	321.331	254.380
120	321.397	254.450	321.178	254.357
121	321.507	254.530	321.286	254.439
122	321.541	254.601	321.319	254.511
123	321.410	254.553	321.186	254.460
124	321.517	254.472	321.292	254.386
125	321.541	254.405	321.320	254.316
126	321.429	254.585	321.209	254.499
127	321.398	254.464	321.176	254.387
128	321.365	254.505	321.141	254.421
129	321.522	254.464	321.295	254.383
130	321.420	254.474	321.194	254.392
131	321.338	254.502	321.111	254.418
132	321.350	254.553	321.127	254.460
133	321.408	254.495	321.183	254.411
134	321.300	254.553	321.070	254.470
135	321.255	254.395	321.037	254.308
136	321.307	254.481	321.090	254.394
137	321.488	254.424	321.272	254.338
138	321.474	254.407	321.254	254.325
139	321.458	254.464	321.244	254.376
140	321.524	254.285	321.290	254.194
141	321.580	254.285	321.357	254.200
142	321.673	254.196	321.448	254.113
143	321.758	254.367	321.535	254.274
144	321.819	254.360	321.587	254.270
145	321.809	254.339	321.587	254.263
146	321.810	254.360	321.592	254.269
147	321.956	254.290	321.735	254.208
148	321.999	254.082	321.779	253.997
149	321.910	254.146	321.694	254.064
150	322.021	254.208	321.799	254.125
151	322.127	254.237	321.914	254.160
152	322.157	254.118	321.942	254.036
153	322.164	254.185	321.946	254.099
154	322.134	254.185	321.914	254.103
155	322.231	254.127	322.015	254.037
156	322.279	254.222	322.061	254.149
157	322.312	254.257	322.097	254.180
158	322.434	254.449	322.202	254.374
159	322.430	254.511	322.209	254.435
160	322.430	254.433	322.202	254.349
161	322.490	254.405	322.261	254.322
162	322.487	254.493	322.255	254.405
163	322.435	254.376	322.210	254.285
164	322.553	254.404	322.329	254.323
165	322.505	254.387	322.284	254.299
166	322.462	254.310	322.233	254.224
167	322.480	254.166	322.259	254.079
168	322.479	254.184	322.256	254.100
169	322.540	254.186	322.320	254.115
170	322.560	254.143	322.344	254.066
171	322.566	254.086	322.344	254.009
172	322.510	254.067	322.287	253.983
173	322.577	254.112	322.357	254.024
174	322.479	253.969	322.263	253.885
175	322.465	253.946	322.247	253.860
176	322.525	253.979	322.308	253.888
177	322.552	253.928	322.336	253.840
178	322.584	253.935	322.368	253.846
179	322.540	253.985	322.322	253.900
180	322.567	253.881	322.350	253.804
181	322.588	253.906	322.365	253.832
182	322.633	253.806	322.416	253.728
183	322.699	253.861	322.481	253.783
184	322.616	253.909	322.401	253.821
185	322.600	253.829	322.381	253.743
186	322.718	253.890	322.498	253.811
187	322.662	253.897	322.446	253.810
188	322.583	253.985	322.355	253.907
189	322.583	253.936	322.356	253.848
190	322.578	253.967	322.352	253.897
191	322.563	254.015	322.338	253.925
192	322.594	253.885	322.374	253.814
193	322.569	253.946	322.339	253.867
194	322.562	253.918	322.327	253.840
195	322.552	253.952	322.324	253.872
196	322.598	253.921	322.371	253.837
197	322.612	253.967	322.393	253.880
198	322.627	253.913	322.402	253.829
199	322.639	253.969	322.400	253.875
200	322.505	253.975	322.267	253.886
201	322.395	253.986	322.168	253.905
202	322.526	253.993	322.294	253.913
203	322.493	253.964	322.261	253.874
204	322.335	253.839	322.110	253.756
205	322.394	253.780	322.162	253.700
206	322.313	253.789	322.093	253.703
207	322.292	253.739	322.065	253.646
208	322.278	253.774	322.050	253.684
209	322.212	253.768	321.989	253.680
210	322.328	253.783	322.104	253.701
211	322.305	253.791	322.072	253.716
212	322.322	253.831	322.103	253.753
213	322.379	253.923	322.152	253.838
214	322.456	253.987	322.221	253.900
215	322.527	254.027	322.297	253.943
216	322.445	254.117	322.220	254.029
217	322.527	254.193	322.299	254.106
218	322.405	254.181	322.181	254.094
219	322.386	254.168	322.152	254.077
220	322.320	254.204	322.098	254.113
221	322.261	254.227	322.037	254.147
222	322.294	254.337	322.073	254.253
223	322.181	254.321	321.953	254.223
224	322.225	254.283	322.005	254.200
225	322.162	254.354	321.935	254.268
226	322.177	254.309	321.947	254.211
227	322.282	254.340	322.044	254.261
228	322.123	254.445	321.886	254.367
229	321.908	254.395	321.679	254.300
230	322.124	254.291	321.898	254.198
231	322.089	254.212	321.858	254.114
232	322.030	254.111	321.791	254.022
233	321.975	254.106	321.743	254.025
234	322.102	254.116	321.868	254.023
235	321.955	254.100	321.719	254.018
236	321.883	254.028	321.642	253.948
237	321.941	253.926	321.705	253.844
238	321.979	253.893	321.747	253.809
239	322.115	253.777	321.877	253.691
240	322.221	253.785	321.972	253.706
241	322.227	253.810	321.984	253.740
242	322.322	253.727	322.092	253.651
243	322.167	253.819	321.929	253.738
244	322.246	253.779	322.015	253.704
245	322.211	253.691	321.977	253.617
246	322.078	253.737	321.844	253.665
247	322.091	253.710	321.859	253.634
248	322.126	253.632	321.887	253.567
249	322.079	253.552	321.839	253.495
250	322.062	253.518	321.819	253.463
251	321.930	253.583	321.687	253.518
252	321.891	253.481	321.660	253.413
253	321.965	253.386	321.734	253.327
254	321.895	253.242	321.655	253.192
255	321.680	253.401	321.449	253.337
256	321.876	253.495	321.641	253.437
257	321.808	253.628	321.578	253.565
258	321.952	253.702	321.720	253.627
259	321.971	253.747	321.742	253.689
260	321.934	253.793	321.707	253.717
261	322.050	253.763	321.818	253.691
262	322.110	253.847	321.875	253.775
263	322.085	253.805	321.851	253.748
264	321.974	253.841	321.736	253.771
265	321.825	253.857	321.582	253.794
266	321.914	253.950	321.682	253.885
267	321.797	253.966	321.563	253.899
268	321.901	254.005	321.664	253.934
269	321.850	253.997	321.610	253.930
270	321.948	254.133	321.709	254.064
271	322.010	254.047	321.773	253.977
272	321.985	253.950	321.750	253.876
273	321.940	253.841	321.705	253.774
274	322.054	253.751	321.811	253.684
275	322.084	253.780	321.847	253.707
276	322.050	253.776	321.817	253.709
277	322.010	253.747	321.775	253.682
278	321.972	253.689	321.739	253.615
279	322.032	253.594	321.801	253.518
280	322.083	253.486	321.842	253.415
281	321.991	253.557	321.754	253.486
282	322.181	253.635	321.944	253.559
283	322.188	253.634	321.948	253.561
284	322.073	253.619	321.837	253.543
285	322.069	253.565	321.831	253.503
286	321.997	253.648	321.772	253.582
287	322.117	253.603	321.881	253.532
288	322.230	253.762	321.993	253.695
289	322.276	253.889	322.042	253.815
290	322.322	253.760	322.088	253.688
291	322.340	253.678	322.109	253.616
292	322.276	253.736	322.047	253.666
293	322.381	253.788	322.154	253.716
294	322.411	253.707	322.180	253.641
295	322.497	253.853	322.277	253.775
296	322.610	253.752	322.384	253.675
297	322.544	253.668	322.305	253.597
298	322.522	253.539	322.290	253.460
299	322.674	253.428	322.434	253.349
300	322.597	253.475	322.356	253.403
301	322.616	253.504	322.381	253.439
302	322.575	253.517	322.343	253.442
303	322.561	253.573	322.329	253.488
304	322.636	253.400	322.392	253.326
305	322.659	253.312	322.418	253.239
306	322.599	253.371	322.350	253.301
307	322.679	253.502	322.436	253.427
308	322.590	253.516	322.347	253.438
309	322.573	253.608	322.331	253.530
310	322.453	253.541	322.215	253.463
311	322.341	253.514	322.101	253.428
312	322.563	253.478	322.317	253.393
313	322.524	253.466	322.286	253.385
314	322.546	253.435	322.308	253.362
315	322.658	253.546	322.418	253.465
316	322.628	253.507	322.392	253.422
317	322.706	253.530	322.462	253.446
318	322.985	253.542	322.749	253.458
319	322.832	253.609	322.591	253.523
320	322.767	253.654	322.533	253.564
321	322.676	253.675	322.426	253.583
322	322.752	253.739	322.503	253.655
323	322.757	253.724	322.509	253.640
324	322.768	253.722	322.532	253.628
325	322.719	253.657	322.472	253.578
326	322.819	253.728	322.582	253.639
327	322.867	253.673	322.627	253.588
328	322.830	253.642	322.587	253.549
329	322.793	253.598	322.548	253.515
330	322.724	253.530	322.473	253.446
331	322.812	253.665	322.565	253.585
332	322.846	253.566	322.589	253.489
333	322.824	253.573	322.574	253.489
334	322.807	253.554	322.556	253.477
335	322.840	253.459	322.592	253.374
336	322.825	253.528	322.577	253.444
337	322.912	253.623	322.670	253.546
338	322.754	253.645	322.501	253.560
339	322.832	253.759	322.588	253.674
340	322.985	253.862	322.739	253.779
341	322.761	253.822	322.513	253.743
342	322.590	253.674	322.338	253.594
343	322.659	253.715	322.403	253.648
344	322.601	253.727	322.352	253.654
345	322.659	253.766	322.404	253.691
346	322.503	253.706	322.249	253.631
347	322.411	253.717	322.162	253.645
348	322.552	253.723	322.295	253.650
349	322.577	253.716	322.331	253.636
350	322.484	253.761	322.233	253.681
351	322.491	253.738	322.237	253.660
352	322.595	253.689	322.335	253.609
353	322.501	253.799	322.248	253.727
354	322.643	253.748	322.395	253.675
355	322.734	253.723	322.488	253.647
356	322.683	253.678	322.433	253.596
357	322.679	253.711	322.434	253.631
358	322.685	253.702	322.436	253.618
359	322.738	253.694	322.473	253.618
360	322.831	253.628	322.580	253.552
361	322.779	253.659	322.530	253.587
362	322.889	253.640	322.644	253.571
363	322.698	253.630	322.445	253.555
364	322.714	253.607	322.476	253.532
365	322.747	253.689	322.513	253.610
366	322.742	253.695	322.504	253.615
367	322.738	253.674	322.498	253.596
368	322.757	253.675	322.519	253.595
369	322.819	253.525	322.567	253.447
370	322.792	253.451	322.557	253.367
371	322.763	253.406	322.524	253.333
372	322.707	253.463	322.468	253.384
373	322.777	253.437	322.534	253.363
374	322.718	253.600	322.479	253.525
375	322.860	253.808	322.619	253.728
376	322.731	253.795	322.495	253.713
377	322.765	253.857	322.524	253.781
378	322.923	253.922	322.689	253.847
379	322.952	253.864	322.710	253.787
380	322.935	253.748	322.710	253.676
381	322.955	253.735	322.710	253.664
382	322.985	253.672	322.752	253.600
383	322.922	253.705	322.687	253.634
384	322.884	253.682	322.652	253.610
385	322.782	253.659	322.553	253.595
386	322.811	253.616	322.590	253.541
387	322.855	253.599	322.617	253.524
388	322.976	253.623	322.742	253.547
389	322.870	253.697	322.633	253.628
390	322.990	253.646	322.764	253.575
391	322.960	253.726	322.719	253.651
392	323.061	253.784	322.829	253.706
393	323.123	253.706	322.898	253.636
394	323.276	253.796	323.048	253.729
395	323.094	253.652	322.867	253.584
396	323.198	253.504	322.963	253.441
397	323.253	253.512	323.031	253.445
398	323.260	253.536	323.038	253.461
399	323.235	253.538	322.998	253.463
400	323.195	253.547	322.969	253.474
401	323.249	253.459	323.023	253.391
402	323.216	253.452	322.982	253.385
403	323.149	253.425	322.928	253.349
404	323.241	253.435	323.007	253.358
405	323.257	253.504	323.024	253.435
406	323.066	253.468	322.835	253.391
407	323.067	253.525	322.834	253.458
408	322.928	253.604	322.693	253.535
409	322.916	253.587	322.693	253.510
410	323.034	253.612	322.802	253.547
411	323.007	253.531	322.765	253.460
412	323.021	253.571	322.795	253.506
413	322.906	253.595	322.686	253.526
414	322.898	253.635	322.668	253.562
415	323.005	253.708	322.772	253.644
416	322.990	253.783	322.750	253.715
417	323.103	253.714	322.870	253.638
418	323.171	253.727	322.937	253.664
419	323.093	253.668	322.859	253.599
420	323.014	253.655	322.778	253.580
421	322.949	253.575	322.724	253.513
422	322.980	253.504	322.753	253.437
423	323.121	253.488	322.896	253.409
424	322.978	253.406	322.751	253.334
425	322.964	253.469	322.727	253.397
426	323.016	253.418	322.784	253.348
427	322.927	253.323	322.700	253.256
428	322.909	253.385	322.679	253.310
429	322.944	253.371	322.723	253.299
430	323.024	253.363	322.794	253.294
431	323.037	253.293	322.802	253.227
432	323.051	253.182	322.816	253.121
433	323.006	253.218	322.777	253.146
434	323.096	253.201	322.863	253.140
435	323.134	253.253	322.897	253.177
436	323.219	253.366	322.991	253.293
437	323.088	253.352	322.852	253.275
438	323.097	253.351	322.866	253.272
439	322.956	253.394	322.730	253.310
440	323.031	253.413	322.801	253.329
441	322.998	253.481	322.764	253.410
442	322.958	253.601	322.720	253.532
443	322.917	253.641	322.694	253.574
444	322.896	253.730	322.671	253.653
445	322.865	253.845	322.636	253.767
