 	X	Y	XM	YM
1	321.900	254.340	321.632	254.360
2	322.026	254.344	321.752	254.369
3	321.999	254.354	321.726	254.382
4	322.058	254.331	321.785	254.359
5	322.038	254.316	321.756	254.343
6	322.028	254.345	321.758	254.374
7	322.003	254.342	321.727	254.370
8	322.013	254.218	321.740	254.252
9	322.147	254.034	321.868	254.062
10	322.158	253.931	321.879	253.958
11	322.233	253.825	321.946	253.859
12	322.224	253.771	321.945	253.801
13	322.271	253.641	321.997	253.677
14	322.119	253.561	321.845	253.595
15	322.172	253.471	321.894	253.498
16	321.992	253.528	321.720	253.556
17	321.942	253.525	321.664	253.538
18	322.056	253.527	321.780	253.548
19	322.036	253.711	321.771	253.738
20	321.857	253.604	321.593	253.627
21	321.821	253.694	321.548	253.713
22	321.815	253.789	321.536	253.819
23	321.853	253.910	321.575	253.931
24	321.843	253.947	321.560	253.979
25	321.883	253.982	321.601	254.002
26	321.852	253.946	321.574	253.962
27	321.741	253.936	321.471	253.958
28	321.708	253.982	321.429	254.009
29	321.712	253.853	321.442	253.871
30	321.755	253.860	321.479	253.877
31	321.812	253.795	321.549	253.813
32	321.752	253.754	321.480	253.772
33	321.752	253.716	321.469	253.739
34	321.725	253.796	321.448	253.810
35	321.640	253.730	321.372	253.739
36	321.605	253.874	321.323	253.899
37	321.625	253.925	321.347	253.943
38	321.582	253.966	321.315	253.983
39	321.653	253.919	321.382	253.934
40	321.583	253.902	321.311	253.915
41	321.474	253.772	321.202	253.794
42	321.503	253.731	321.235	253.748
43	321.838	253.622	321.565	253.638
44	321.822	253.624	321.545	253.646
45	321.793	253.590	321.513	253.612
46	321.717	253.588	321.446	253.597
47	321.669	253.725	321.382	253.750
48	321.695	253.765	321.405	253.773
49	321.669	253.764	321.383	253.783
50	321.609	254.137	321.324	254.146
51	321.562	254.152	321.287	254.166
52	321.585	254.163	321.304	254.167
53	321.700	254.204	321.423	254.221
54	321.626	254.183	321.348	254.202
55	321.597	254.031	321.320	254.044
56	321.668	253.991	321.389	254.009
57	321.541	253.805	321.260	253.822
58	321.530	253.765	321.248	253.769
59	321.385	253.740	321.107	253.750
60	321.375	253.834	321.096	253.859
61	321.349	253.896	321.067	253.914
62	321.286	253.802	321.008	253.821
63	321.205	253.848	320.927	253.867
64	321.258	253.866	320.979	253.882
65	321.349	253.848	321.060	253.869
66	321.465	253.911	321.180	253.926
67	321.540	253.925	321.259	253.951
68	321.469	253.937	321.189	253.951
69	321.469	254.025	321.187	254.044
70	321.506	254.032	321.212	254.055
71	321.627	254.116	321.325	254.137
72	321.550	254.285	321.259	254.302
73	321.579	254.235	321.280	254.243
74	321.643	254.293	321.349	254.314
75	321.710	254.359	321.406	254.388
76	321.626	254.328	321.328	254.351
77	321.574	254.480	321.277	254.502
78	321.474	254.386	321.182	254.405
79	321.395	254.532	321.093	254.553
80	321.285	254.494	320.989	254.509
81	321.416	254.425	321.129	254.440
82	321.277	254.308	320.977	254.318
83	321.367	254.267	321.068	254.279
84	321.443	254.263	321.143	254.279
85	321.378	254.102	321.085	254.117
86	321.331	254.084	321.039	254.095
87	321.456	254.065	321.162	254.077
88	321.410	254.060	321.104	254.068
89	321.428	253.885	321.127	253.906
90	321.394	253.976	321.092	253.994
91	321.351	253.986	321.048	253.993
92	321.293	254.038	321.003	254.059
93	321.264	254.028	320.968	254.034
94	321.338	253.966	321.044	253.979
95	321.335	254.018	321.038	254.035
96	321.362	254.026	321.062	254.046
97	321.444	253.892	321.147	253.910
98	321.497	253.916	321.200	253.930
99	321.658	253.853	321.362	253.872
100	321.763	253.887	321.462	253.897
101	321.764	253.810	321.456	253.822
102	321.726	253.830	321.428	253.854
103	321.649	253.740	321.348	253.750
104	321.764	253.713	321.453	253.728
105	321.845	253.805	321.547	253.820
106	321.693	253.837	321.388	253.848
107	321.582	253.818	321.283	253.834
108	321.541	253.762	321.241	253.779
109	321.448	253.601	321.144	253.621
110	321.378	253.443	321.079	253.462
111	321.227	253.400	320.928	253.413
112	321.326	253.338	321.032	253.349
113	321.257	253.268	320.958	253.284
114	321.303	253.245	321.008	253.251
115	321.229	253.169	320.919	253.177
116	321.140	253.240	320.840	253.255
117	321.108	253.250	320.817	253.265
118	321.166	253.203	320.876	253.218
119	321.193	253.267	320.892	253.285
120	321.164	253.260	320.858	253.268
121	321.087	253.224	320.791	253.244
122	321.042	253.367	320.758	253.382
123	320.986	253.376	320.686	253.395
124	321.162	253.336	320.861	253.341
125	321.112	253.403	320.805	253.423
126	321.078	253.484	320.779	253.502
127	321.291	253.476	320.991	253.491
128	321.291	253.414	320.993	253.422
129	321.280	253.374	320.976	253.381
130	321.146	253.331	320.844	253.346
131	321.128	253.385	320.829	253.395
132	321.055	253.334	320.757	253.345
133	320.998	253.371	320.689	253.385
134	320.920	253.238	320.623	253.249
135	320.852	253.287	320.548	253.294
136	320.914	253.230	320.619	253.246
137	320.801	253.313	320.495	253.322
138	320.806	253.143	320.507	253.149
139	320.857	253.129	320.556	253.142
140	320.826	253.078	320.533	253.088
141	320.827	253.053	320.531	253.072
142	320.707	253.076	320.399	253.085
143	320.620	253.165	320.336	253.176
144	320.633	253.079	320.331	253.095
145	320.550	253.003	320.251	253.010
146	320.586	253.072	320.288	253.090
